구,행정동,한식 음식점업,용달 및 개별 화물 자동차 운송업,부동산 중개 및 대리업,의복소매업,생맥주 전문점 및 기타 주점업,두발미용업,슈퍼마켓 및 기타 음·식료품 위주 종합 소매업,김밥 및 기타 간이 음식점 및 간이음식 포장 판매업,커피 전문점 및 기타 비알콜 음료점업,가정용 세탁업,노래연습장 운영업,체인화 편의점,치킨전문점,자동차 전문 수리업,채소 과실 및 뿌리작물 소매업,육류소매업,중식음식점업,당구장 운영업,제과점업,컴퓨터 게임방 운영업
합계,합계,"47,337","38,178","24,013","20,794","15,296","18,080","7,675","10,116","19,118","6,208","6,432","8,421","5,287","3,563","3,252","3,489","4,805","2,482","4,454","1,805"
종로구,소계,"2,335",685,549,690,641,261,334,442,"1,216",113,123,283,141,35,65,62,204,97,172,46
종로구,사직동,330,12,57,37,88,28,26,40,153,11,13,27,14,4,4,2,29,9,19,1
종로구,삼청동,56,6,9,56,3,-,9,18,80,1,-,6,1,-,-,-,4,-,8,-
종로구,부암동,32,13,17,9,7,8,6,9,32,9,-,10,2,7,-,-,3,1,5,1
종로구,평창동,47,20,33,14,26,19,12,12,22,8,2,9,3,4,2,6,4,3,7,2
종로구,무악동,11,411,12,1,-,9,4,4,7,4,1,3,5,2,2,2,1,-,3,1
종로구,교남동,24,11,26,10,2,11,7,6,13,7,1,9,4,1,2,1,4,-,5,1
종로구,가회동,72,9,16,26,10,8,9,17,60,3,4,8,4,1,3,3,2,2,12,-
종로구,종로1.2.3.4가동,891,8,111,243,283,37,107,135,416,17,44,89,36,7,21,6,68,36,47,12
종로구,종로5·6가동,271,14,71,101,44,17,42,56,89,6,13,25,14,2,5,8,11,14,7,1
종로구,이화동,97,18,13,20,29,8,14,24,86,3,3,19,5,2,-,2,14,3,17,2
종로구,창신1동,93,17,27,59,17,10,21,19,21,4,8,6,13,-,3,6,15,7,5,6
종로구,창신2동,61,26,13,11,16,19,15,9,11,6,5,3,2,-,4,5,4,3,3,2
종로구,창신3동,11,26,15,2,1,9,4,3,7,4,-,3,3,1,3,2,2,-,1,-
종로구,숭인1동,16,21,12,5,3,13,7,3,5,5,-,6,3,1,1,-,2,1,1,1
종로구,숭인2동,92,26,38,36,26,17,18,21,27,5,15,21,10,-,4,5,9,8,5,4
종로구,청운효자동,65,20,29,30,13,16,17,23,69,5,1,10,2,1,9,9,6,1,15,1
종로구,혜화동,166,27,50,30,73,32,16,43,118,15,13,29,20,2,2,5,26,9,12,11
중구,소계,"2,342",380,576,"2,660",483,339,461,427,"1,023",92,134,354,138,32,83,75,225,100,173,28
중구,소공동,270,5,22,374,30,18,24,31,161,2,5,44,11,-,1,1,30,7,31,1
중구,회현동,224,13,18,812,24,23,77,51,111,9,8,38,11,2,8,4,28,6,26,1
중구,명동,434,3,80,203,69,54,67,84,267,5,10,68,17,-,3,1,63,12,32,2
중구,필동,159,7,28,5,55,13,17,28,84,5,14,26,8,2,1,2,15,7,6,5
중구,장충동,63,5,11,10,8,6,5,6,25,4,3,14,6,-,1,1,5,3,8,1
중구,광희동,279,21,60,987,53,16,65,51,100,5,12,42,13,5,19,9,21,12,17,1
중구,을지로동,243,7,58,75,87,9,49,28,102,4,10,29,8,1,3,1,22,17,11,-
중구,신당5동,107,37,30,28,39,24,12,12,12,6,12,7,11,3,3,4,4,3,3,6
중구,황학동,146,30,38,36,18,25,28,28,16,5,8,13,7,3,20,20,4,5,2,-
중구,중림동,92,29,26,2,22,22,15,15,36,6,7,11,9,2,5,7,6,5,6,1
중구,신당동,111,20,92,55,23,25,62,46,46,7,18,22,11,4,4,2,17,6,8,1
중구,다산동,87,66,23,19,24,22,15,19,26,10,15,14,7,6,4,5,5,6,6,1
중구,약수동,53,45,35,20,14,34,9,14,10,12,6,12,8,3,3,8,-,2,9,3
중구,청구동,29,54,25,18,10,20,7,5,13,6,3,6,6,-,4,3,2,3,4,2
중구,동화동,45,38,30,16,7,28,9,9,14,6,3,8,5,1,4,7,3,6,4,3
용산구,소계,"1,333",560,791,696,547,366,264,300,735,138,88,246,114,91,63,76,139,41,151,23
용산구,후암동,62,63,44,19,11,22,16,15,40,9,2,14,9,4,7,8,7,2,7,2
용산구,용산2가동,29,32,23,9,33,18,11,10,48,7,1,12,7,1,5,5,2,1,10,1
용산구,남영동,177,9,21,78,47,19,21,37,60,4,12,35,11,6,1,1,20,11,20,7
용산구,원효로2동,51,60,32,12,11,19,15,8,13,6,5,11,5,13,2,4,9,2,2,-
용산구,효창동,16,36,18,4,2,7,10,5,17,5,-,8,1,2,-,-,1,1,2,-
용산구,용문동,50,45,25,16,19,28,8,11,13,6,6,3,13,2,10,12,-,1,3,1
용산구,이촌1동,54,9,58,58,17,29,16,19,19,8,2,11,6,1,8,13,10,1,11,2
용산구,이촌2동,11,48,30,4,1,8,6,4,7,5,-,3,3,8,4,2,1,-,2,-
용산구,이태원1동,98,10,34,207,146,12,12,14,54,6,7,17,8,3,-,1,13,2,9,-
용산구,이태원2동,38,21,35,23,52,14,10,9,52,7,3,13,2,-,4,3,4,-,12,-
용산구,서빙고동,19,24,21,14,1,11,13,7,10,2,-,6,1,4,1,1,3,-,3,-
용산구,보광동,73,46,65,24,20,40,25,16,19,13,5,9,15,6,4,4,4,4,5,2
용산구,청파동,107,71,59,18,40,47,26,59,71,20,9,23,10,11,6,10,10,3,14,5
용산구,원효로1동,124,34,63,14,39,18,11,24,49,13,8,18,6,8,4,2,12,2,10,1
용산구,한강로동,284,17,166,109,45,39,37,38,161,19,17,42,9,13,3,4,26,9,18,-
용산구,한남동,140,35,97,87,63,35,27,24,102,8,11,21,8,9,4,6,17,2,23,2
성동구,소계,"1,557","1,280",801,392,344,489,235,277,602,187,154,255,148,201,61,126,117,78,119,49
성동구,왕십리2동,40,67,40,13,8,25,11,6,14,10,3,11,11,-,6,3,4,2,3,3
성동구,마장동,117,104,36,4,24,26,33,16,18,14,7,14,5,15,3,40,5,9,3,2
성동구,사근동,133,43,35,8,57,24,10,35,69,10,18,28,16,-,1,3,19,10,4,12
성동구,행당1동,119,63,40,76,19,37,14,26,40,11,10,13,14,2,9,11,10,5,16,2
성동구,행당2동,16,60,33,17,2,27,4,9,16,11,2,6,6,1,2,4,1,-,5,-
성동구,응봉동,11,56,13,6,3,12,9,6,9,10,1,2,4,4,-,2,1,-,1,1
성동구,금호1가동,17,47,30,6,7,23,8,8,14,9,2,6,2,3,2,3,3,2,2,2
성동구,금호4가동,52,33,40,21,17,28,5,8,12,8,7,8,8,2,2,2,3,2,5,4
성동구,성수1가1동,66,62,66,17,9,27,10,9,39,10,10,19,6,7,-,2,4,3,7,1
성동구,성수1가2동,163,63,55,30,22,25,13,21,95,9,12,21,8,12,3,5,10,7,12,2
성동구,성수2가1동,150,93,46,48,41,34,17,33,55,17,18,18,7,26,8,4,9,8,10,4
성동구,성수2가3동,225,303,100,23,32,18,18,21,93,8,22,45,9,43,1,4,21,13,9,4
성동구,송정동,35,58,20,10,6,18,9,6,6,8,4,8,3,7,3,3,3,3,3,1
성동구,용답동,114,53,31,26,28,26,29,17,30,6,14,14,6,69,8,7,6,3,3,3
성동구,왕십리도선동,170,71,109,32,42,57,22,31,50,16,15,23,17,7,7,11,8,6,15,5
성동구,금호2.3가동,89,73,49,37,21,55,14,15,21,15,6,10,19,-,5,12,5,4,9,2
성동구,옥수동,40,31,58,18,6,27,9,10,21,15,3,9,7,3,1,10,5,1,12,1
광진구,소계,"1,676","1,204",871,530,714,746,244,367,650,259,380,320,193,105,105,130,206,99,168,83
광진구,화양동,267,39,77,49,226,72,14,48,144,24,86,49,29,3,9,5,24,17,24,12
광진구,군자동,117,61,53,17,53,49,17,33,50,20,21,21,15,10,3,11,14,7,5,6
광진구,중곡1동,109,71,50,26,48,41,21,16,22,11,21,14,13,15,16,13,5,7,6,4
광진구,중곡2동,92,93,64,27,41,61,16,19,32,21,24,19,6,11,7,5,6,4,12,3
광진구,중곡3동,74,78,45,21,50,49,12,22,27,13,17,15,6,9,3,6,6,4,8,7
광진구,중곡4동,84,145,43,48,32,56,20,27,29,16,19,17,7,2,8,14,5,7,11,6
광진구,능동,49,31,24,8,27,15,13,8,24,5,20,16,9,3,-,2,1,5,5,2
광진구,구의1동,160,70,80,30,66,56,13,30,38,23,48,25,15,5,6,4,12,11,17,8
광진구,구의2동,95,146,54,22,25,39,13,23,32,18,11,16,12,5,2,10,7,3,10,4
광진구,구의3동,152,40,71,88,29,57,29,21,55,20,18,24,15,5,1,4,10,7,20,10
광진구,광장동,68,25,68,24,14,34,18,28,43,16,6,17,13,5,3,9,4,3,10,1
광진구,자양1동,140,94,68,57,22,65,14,23,33,15,20,21,15,11,22,20,11,9,8,8
광진구,자양2동,69,115,53,15,31,51,15,16,28,23,19,19,10,11,4,5,4,3,9,3
광진구,자양3동,74,103,66,38,9,43,13,26,42,17,2,22,8,5,4,7,8,3,16,1
광진구,자양4동,126,93,55,60,41,58,16,27,51,17,48,25,20,5,17,15,89,9,7,8
동대문구,소계,"1,922","1,690",842,718,554,611,398,385,575,237,214,323,205,238,597,203,171,93,139,83
동대문구,회기동,119,24,25,39,69,31,14,34,63,7,22,18,10,-,2,1,25,7,12,10
동대문구,휘경1동,72,37,42,14,20,21,19,17,25,14,8,16,12,4,6,7,5,2,8,2
동대문구,휘경2동,39,463,40,5,9,24,15,14,29,14,4,17,12,2,2,5,3,5,4,4
동대문구,청량리동,145,73,47,38,32,44,38,32,27,13,17,10,13,5,19,9,11,8,5,6
동대문구,용신동,328,100,111,80,51,49,60,44,89,23,26,48,18,25,15,14,26,13,12,5
동대문구,제기동,225,97,74,33,69,40,80,28,50,18,7,26,20,26,504,68,21,3,20,5
동대문구,전농1동,179,96,92,233,45,70,31,43,50,20,17,28,18,17,9,22,10,8,19,9
동대문구,전농2동,37,80,20,12,13,33,13,18,21,15,8,11,10,3,3,3,4,3,7,3
동대문구,답십리1동,78,95,67,26,21,30,17,15,26,11,13,19,12,6,1,5,4,3,9,4
동대문구,답십리2동,100,141,58,26,29,43,20,19,21,16,15,18,10,27,10,17,8,6,6,5
동대문구,장안1동,256,189,106,77,70,74,32,43,51,33,30,46,21,94,10,20,18,15,12,8
동대문구,장안2동,218,167,73,112,70,82,36,42,49,30,30,32,22,19,7,20,15,17,14,8
동대문구,이문1동,98,59,54,11,41,45,14,30,62,13,11,25,17,7,6,5,17,2,8,13
동대문구,이문2동,28,69,33,12,15,25,9,6,12,10,6,9,10,3,3,7,4,1,3,1
중랑구,소계,"1,774","2,658",738,587,617,790,333,365,421,252,365,261,202,161,133,170,89,116,119,92
중랑구,면목2동,137,170,46,34,32,61,24,23,26,18,20,19,14,12,11,15,5,7,8,4
중랑구,면목4동,49,125,32,14,24,33,18,9,18,13,9,12,5,6,2,1,3,5,2,2
중랑구,면목5동,41,99,22,8,12,19,8,9,6,6,5,7,6,7,1,1,3,4,-,1
중랑구,면목7동,94,119,51,42,36,50,17,23,19,16,21,14,12,11,22,15,3,8,8,3
중랑구,상봉1동,37,113,31,61,13,40,20,18,29,15,8,15,6,6,2,5,4,5,6,2
중랑구,상봉2동,247,74,74,59,88,40,20,28,44,17,67,27,16,18,4,7,8,17,4,18
중랑구,중화1동,35,111,39,19,9,40,16,9,14,13,5,15,5,1,4,4,-,-,2,-
중랑구,중화2동,172,149,44,47,74,62,31,34,26,12,44,19,18,14,22,18,10,12,9,12
중랑구,묵1동,101,164,56,33,28,61,18,24,38,21,18,18,13,7,5,8,4,3,8,5
중랑구,묵2동,100,475,47,29,40,46,15,19,22,12,26,16,9,16,3,7,7,9,2,5
중랑구,망우3동,54,116,25,8,17,38,16,12,14,10,4,10,7,12,5,6,5,2,5,1
중랑구,신내1동,110,261,43,27,28,48,21,20,37,18,14,14,23,11,1,6,9,6,11,6
중랑구,신내2동,48,94,30,50,10,33,10,16,14,14,1,6,11,2,4,9,3,2,8,1
중랑구,면목본동,176,203,80,52,67,76,42,37,34,29,30,25,20,6,15,24,6,8,22,11
중랑구,면목3.8동,170,153,56,46,71,69,24,42,34,15,49,18,18,12,12,15,9,17,11,10
중랑구,망우본동,203,232,62,58,68,74,33,42,46,23,44,26,19,20,20,29,10,11,13,11
성북구,소계,"1,562","1,597",846,524,552,739,315,411,663,261,173,298,222,128,86,159,137,84,163,71
성북구,돈암1동,11,52,17,8,4,12,4,8,6,7,1,4,2,1,-,6,1,-,3,1
성북구,돈암2동,11,39,29,12,1,14,5,7,7,8,-,4,5,-,1,4,2,-,2,-
성북구,안암동,115,45,35,11,64,39,16,27,99,9,19,38,14,6,-,1,19,7,13,13
성북구,보문동,74,57,40,15,24,32,18,11,19,11,5,13,8,10,4,6,6,1,5,3
성북구,정릉1동,39,56,31,9,8,28,7,15,16,9,4,15,9,8,2,8,3,2,7,1
성북구,정릉2동,51,110,30,11,13,29,13,16,15,10,6,10,13,6,2,5,5,4,6,5
성북구,정릉3동,58,59,16,4,19,24,12,12,19,7,4,17,12,7,1,4,9,7,3,2
성북구,정릉4동,62,86,35,10,18,29,20,15,17,16,6,11,14,1,2,9,2,7,7,4
성북구,길음1동,36,70,53,28,44,37,15,27,24,14,5,7,10,-,12,11,5,3,12,3
성북구,길음2동,53,42,46,87,7,29,11,11,29,10,3,10,7,4,1,6,6,-,11,2
성북구,월곡1동,63,131,41,24,7,42,24,18,19,17,8,11,18,14,8,7,6,3,8,2
성북구,월곡2동,118,81,34,32,25,51,16,35,51,15,23,18,15,13,6,13,7,7,10,6
성북구,장위1동,53,109,38,18,23,34,20,14,14,20,9,12,4,5,2,7,4,3,3,4
성북구,장위2동,73,85,49,22,40,29,21,9,8,8,6,5,9,7,7,10,3,2,1,1
성북구,장위3동,26,77,46,8,7,15,8,4,8,7,-,6,5,5,1,2,4,-,5,1
성북구,성북동,77,32,40,40,13,32,12,12,63,11,2,19,5,9,3,6,6,1,17,2
성북구,삼선동,178,66,55,35,60,47,29,39,58,15,17,21,12,5,10,18,13,12,11,1
성북구,동선동,168,31,70,79,86,82,15,67,115,15,26,30,20,5,3,3,22,9,21,7
성북구,종암동,134,161,62,37,32,64,22,33,45,27,15,25,16,9,12,14,7,7,10,8
성북구,석관동,162,208,79,34,57,70,27,31,31,25,14,22,24,13,9,19,7,9,8,5
강북구,소계,"1,553","1,271",589,442,601,673,254,275,400,212,298,227,176,125,125,138,106,87,103,69
강북구,번1동,135,67,60,30,61,62,23,29,41,18,32,27,10,6,8,8,8,6,5,7
강북구,번2동,26,99,10,2,8,21,10,7,9,8,4,8,2,9,2,2,2,4,4,2
강북구,번3동,34,80,12,4,11,22,11,9,13,10,3,9,8,5,4,5,2,3,4,2
강북구,수유1동,127,93,38,68,25,43,14,29,22,12,12,15,12,10,27,22,8,9,5,8
강북구,수유2동,76,101,41,23,31,57,17,17,16,15,17,14,14,12,5,11,5,6,7,3
강북구,수유3동,289,76,84,64,166,81,29,38,60,21,112,26,24,16,13,15,19,17,15,13
강북구,삼양동,52,131,29,19,14,49,21,13,11,16,9,12,11,2,4,6,4,5,5,7
강북구,미아동,143,87,70,42,58,85,21,29,35,20,24,29,16,8,12,6,9,10,16,8
강북구,송중동,188,92,61,97,85,69,26,30,48,24,35,23,28,14,12,14,13,8,14,7
강북구,송천동,192,97,71,35,59,74,29,26,32,23,17,19,18,25,14,12,15,9,6,2
강북구,삼각산동,45,91,46,13,15,29,9,17,21,12,5,7,10,-,5,9,3,1,6,4
강북구,우이동,160,90,23,24,41,20,20,11,50,11,17,15,12,8,4,12,8,4,9,2
강북구,인수동,86,167,44,21,27,61,24,20,42,22,11,23,11,10,15,16,10,5,7,4
도봉구,소계,"1,156","1,891",515,359,313,600,224,261,312,199,185,196,187,117,99,121,80,85,111,55
도봉구,쌍문1동,36,90,18,4,7,32,21,17,25,14,2,13,12,4,3,8,5,3,8,1
도봉구,쌍문2동,79,105,30,33,22,53,14,25,23,15,16,12,12,6,2,8,4,7,10,6
도봉구,쌍문3동,65,64,38,24,18,35,19,16,19,10,6,12,13,10,10,10,4,2,7,2
도봉구,쌍문4동,10,72,16,13,4,27,7,15,10,11,1,9,7,1,1,6,2,-,2,2
도봉구,방학1동,210,124,76,81,66,80,30,32,42,21,50,23,32,15,12,10,14,20,16,15
도봉구,방학2동,73,111,24,31,9,55,17,19,15,14,10,11,9,8,21,12,7,5,9,2
도봉구,방학3동,41,127,20,13,4,16,11,8,15,12,4,9,11,6,2,3,1,4,5,-
도봉구,창1동,68,524,43,25,16,42,11,22,22,14,11,14,9,8,4,10,4,4,11,2
도봉구,창2동,68,161,44,32,19,62,18,16,17,25,8,19,20,9,8,15,8,6,8,9
도봉구,창3동,64,89,27,21,27,35,9,15,12,11,12,11,12,10,6,9,3,4,6,1
도봉구,창4동,68,78,40,21,24,29,11,21,18,11,14,14,12,4,3,3,5,6,10,4
도봉구,창5동,99,93,50,19,25,46,15,27,40,14,16,16,14,12,9,10,10,10,9,5
도봉구,도봉1동,190,122,47,24,43,47,29,18,29,12,28,19,12,15,11,10,8,11,4,4
도봉구,도봉2동,85,131,42,18,29,41,12,10,25,15,7,14,12,9,7,7,5,3,6,2
노원구,소계,"1,562","2,273",714,927,436,782,284,411,606,255,279,294,283,131,93,145,130,105,182,82
노원구,월계1동,139,116,39,12,36,37,14,41,46,13,34,27,21,10,4,8,12,16,5,12
노원구,월계2동,20,171,16,7,3,25,14,10,17,9,2,14,11,1,2,7,3,-,5,-
노원구,월계3동,32,195,33,23,2,30,14,11,18,13,2,11,9,1,5,7,4,-,8,1
노원구,공릉2동,110,226,63,17,24,60,18,39,76,21,26,31,25,4,4,11,10,10,24,11
노원구,하계1동,73,74,21,94,13,22,12,16,30,12,3,16,11,14,1,6,9,1,5,2
노원구,하계2동,15,74,16,2,2,16,7,6,2,8,-,4,5,-,1,2,-,-,2,2
노원구,중계본동,50,86,35,20,17,37,15,27,36,16,4,10,18,6,4,6,6,3,7,5
노원구,중계1동,34,57,36,24,7,36,14,31,26,16,4,12,7,8,3,9,3,-,11,3
노원구,중계4동,101,99,22,43,33,32,13,22,26,4,24,8,18,4,2,5,6,8,7,5
노원구,상계1동,164,233,60,22,45,70,20,22,49,20,33,23,26,19,4,14,12,10,12,6
노원구,상계2동,224,74,68,285,99,83,19,52,76,22,58,28,31,17,9,16,18,16,27,12
노원구,상계5동,92,104,54,27,27,66,21,24,24,15,16,14,18,12,9,8,5,9,10,7
노원구,상계8동,22,33,16,17,6,16,7,6,9,7,4,5,4,1,3,3,3,-,5,1
노원구,상계9동,23,92,22,19,4,21,6,7,9,7,3,7,7,-,4,4,1,1,3,1
노원구,상계10동,9,74,12,9,1,11,9,5,7,4,3,4,1,-,-,-,2,1,-,1
노원구,상계3.4동,82,152,42,23,34,42,21,15,17,16,17,12,10,5,10,8,3,8,4,2
노원구,상계6.7동,113,81,61,18,18,55,17,26,36,15,20,21,21,2,10,9,10,7,14,4
노원구,중계2.3동,48,146,24,219,12,38,20,25,21,14,2,9,11,1,2,8,11,1,10,-
노원구,공릉1동,211,186,74,46,53,85,23,26,81,23,24,38,29,26,16,14,12,14,23,7
은평구,소계,"1,644","1,948","1,134",690,573,947,298,385,529,274,244,304,241,120,175,177,124,111,178,63
은평구,녹번동,118,315,95,9,27,59,23,16,43,16,17,25,16,17,3,8,9,9,9,7
은평구,불광1동,118,96,100,34,38,67,19,33,37,22,21,21,27,1,12,10,7,6,11,4
은평구,갈현1동,147,80,70,24,67,63,22,20,36,17,38,15,18,3,8,13,18,15,13,7
은평구,갈현2동,130,98,55,57,57,75,22,41,43,14,22,27,16,6,11,17,11,11,9,7
은평구,구산동,38,177,44,14,9,50,18,19,23,19,2,20,13,10,2,4,3,2,10,-
은평구,대조동,196,102,134,235,59,78,26,50,58,16,26,29,22,6,59,16,13,9,19,4
은평구,응암1동,94,105,89,43,38,55,13,19,39,18,13,17,12,3,6,8,7,7,10,3
은평구,응암2동,40,73,59,6,11,30,8,10,16,12,8,7,6,4,2,6,2,4,5,1
은평구,신사1동,66,137,63,25,19,62,19,18,23,19,17,16,11,8,5,12,9,6,7,8
은평구,신사2동,28,112,32,9,8,38,15,15,15,15,1,10,11,5,5,7,2,1,4,-
은평구,증산동,73,85,40,13,20,34,16,12,14,8,6,12,6,5,7,6,5,7,7,2
은평구,수색동,35,37,38,7,21,14,8,4,7,4,3,2,2,1,3,4,4,1,2,-
은평구,진관동,133,93,97,76,11,61,24,43,75,29,4,29,19,4,5,17,10,3,29,3
은평구,불광2동,105,110,53,34,36,64,18,19,13,16,6,16,11,9,22,15,3,5,6,1
은평구,응암3동,175,95,56,65,75,75,20,31,37,21,36,22,28,14,18,20,8,14,12,8
은평구,역촌동,148,233,109,39,77,122,27,35,50,28,24,36,23,24,7,14,13,11,25,8
서대문구,소계,"1,355","1,059",667,397,533,598,241,361,656,183,137,276,184,93,118,109,145,67,148,52
서대문구,천연동,76,37,33,25,30,26,13,28,18,11,6,11,11,3,10,7,3,3,4,1
서대문구,홍제1동,75,82,42,19,17,40,15,20,25,12,13,15,13,5,6,6,4,2,10,1
서대문구,홍제3동,97,74,28,25,29,33,20,22,21,9,11,13,14,5,54,22,6,7,6,1
서대문구,홍제2동,37,32,28,11,9,20,3,10,8,9,7,6,6,-,1,4,4,3,3,5
서대문구,홍은1동,55,86,35,19,18,39,15,14,20,14,3,8,10,4,9,10,3,3,7,3
서대문구,홍은2동,79,121,31,15,26,29,17,26,38,12,4,20,9,13,-,3,8,6,11,7
서대문구,남가좌1동,54,39,29,20,19,14,14,17,11,4,4,8,5,-,15,13,2,3,5,1
서대문구,남가좌2동,94,86,62,24,31,55,19,26,42,14,16,17,23,11,4,13,12,8,11,5
서대문구,북가좌1동,23,66,29,6,4,18,5,7,12,9,-,11,6,6,1,2,-,1,7,-
서대문구,북가좌2동,92,186,73,20,42,81,18,23,27,25,13,28,22,10,3,10,7,9,12,7
서대문구,충현동,183,50,49,9,44,27,19,28,80,13,9,29,5,6,3,1,11,6,8,4
서대문구,북아현동,39,43,81,13,17,18,18,8,16,12,3,7,6,2,3,3,3,2,5,-
서대문구,신촌동,334,30,78,141,200,133,35,98,239,13,41,69,36,1,2,7,61,10,34,15
서대문구,연희동,117,127,69,50,47,65,30,34,99,26,7,34,18,27,7,8,21,4,25,2
마포구,소계,"2,440","1,026","1,149",782,"1,131",896,269,507,"1,570",249,236,449,250,102,114,109,287,89,326,60
마포구,용강동,163,38,76,13,52,30,14,22,52,17,24,22,7,8,4,7,12,8,6,2
마포구,대흥동,106,28,96,16,29,43,12,33,64,6,10,31,12,5,7,6,11,3,13,7
