구,행정동,총사업체수,총종사자수,총여성종사자,자영업주_및_무급가족_소계,자영업주_및_무급가족_여성종사자,상용근로자_소계,상용근로자_여성종사자,임시_및_일용근로자_소계,임시_및_일용근로자_여성종사자,기타종사자_소계,기타종사자_여성종사자
마포구,망원1동,"1,899","5,293","2,453","1,930",718,"2,257","1,167",855,434,251,134
마포구,망원2동,"1,348","4,505","2,093","1,399",658,"2,146","1,012",645,331,315,92
마포구,연남동,"1,915","6,911","3,172","1,744",771,"4,049","1,897","1,041",463,77,41
마포구,성산1동,"1,534","11,155","3,328","1,137",430,"6,715","2,177","2,532",478,771,243
마포구,성산2동,"1,757","11,682","5,939","1,621",709,"8,119","4,260","1,762",837,180,133
마포구,상암동,"2,531","41,880","17,407","1,787",820,"37,317","14,992","2,400","1,331",376,264
마포구,도화동,"2,082","16,774","7,727","1,450",666,"12,844","5,346","1,608","1,065",872,650
마포구,서강동,"1,828","12,774","5,916","1,619",705,"8,387","3,843","2,314","1,102",454,266
마포구,공덕동,"2,756","18,197","8,298","2,539","1,188","10,846","5,001","3,684","1,486","1,128",623
마포구,아현동,"1,619","10,936","5,065","1,240",608,"8,876","3,902",595,394,225,161
양천구,소계,"25,894","121,582","58,483","25,290","10,912","69,439","33,724","18,373","8,975","8,480","4,872"
양천구,목1동,"2,872","21,666","10,906","2,216","1,150","15,123","6,875","2,990","1,872","1,337","1,009"
양천구,목2동,"1,196","4,523","2,154","1,205",551,"2,394","1,209",824,337,100,57
양천구,목3동,"1,282","4,740","2,542","1,383",665,"2,487","1,428",757,351,113,98
양천구,목4동,"1,347","3,945","2,126","1,434",701,"1,523",786,661,403,327,236
양천구,신월1동,"1,765","5,183","2,355","1,962",826,"2,350","1,117",696,279,175,133
양천구,신월2동,"1,175","3,943","1,839","1,165",424,"1,975",987,542,206,261,222
양천구,신월3동,958,"4,019","1,663",920,344,"2,594","1,123",349,149,156,47
양천구,신월4동,"1,166","4,255","1,814","1,197",459,"2,188",964,554,220,316,171
양천구,신월5동,994,"4,849","1,968","1,031",431,"2,886","1,114",827,370,105,53
양천구,신월6동,"1,336","3,129",911,"1,335",204,"1,016",499,309,168,469,40
양천구,신월7동,"1,324","5,406","1,913","1,377",540,"3,525","1,129",408,176,96,68
양천구,신정1동,"1,175","5,322","2,855","1,244",655,"3,091","1,610",711,349,276,241
양천구,신정2동,"1,091","3,806","2,103","1,143",551,"1,940","1,186",510,274,213,92
양천구,신정3동,"1,814","9,284","3,976","1,608",593,"5,535","2,489","1,485",706,656,188
양천구,신정6동,714,"6,916","3,727",649,332,"4,561","2,393",783,450,923,552
양천구,신정7동,"1,030","4,457","2,109","1,011",449,"2,640","1,113",475,325,331,222
양천구,목5동,"1,565","10,700","6,438","1,409",756,"6,847","4,186","1,977","1,270",467,226
양천구,신정4동,"3,090","15,439","7,084","3,001","1,281","6,764","3,516","3,515","1,070","2,159","1,217"
강서구,소계,"39,458","257,494","115,285","34,516","14,361","179,972","79,041","32,103","15,556","10,903","6,327"
강서구,염창동,"2,170","17,152","6,906","1,681",777,"12,179","4,858","2,662",950,630,321
강서구,등촌1동,"1,812","15,763","6,607","1,436",618,"11,219","4,609","2,517","1,057",591,323
강서구,등촌2동,737,"3,541","1,771",676,267,"2,440","1,238",341,197,84,69
강서구,등촌3동,"2,533","19,252","10,413","2,008",925,"13,171","6,736","3,206","2,125",867,627
강서구,화곡본동,"1,389","4,179","2,416","1,490",636,"2,061","1,338",419,265,209,177
강서구,화곡2동,855,"2,732","1,327",788,307,"1,548",833,374,172,22,15
강서구,화곡3동,"1,222","4,170","2,380","1,290",591,"1,708","1,100",855,469,317,220
강서구,화곡4동,"1,469","3,988","2,033","1,570",681,"1,848","1,029",476,262,94,61
강서구,화곡6동,"1,749","10,847","4,749","1,669",727,"6,160","2,530","2,334","1,002",684,490
강서구,화곡8동,"1,275","4,167","2,434","1,356",606,"1,793","1,153",803,508,215,167
강서구,가양1동,"5,790","56,353","19,376","3,870","1,634","44,872","14,305","4,457","2,034","3,154","1,403"
강서구,가양2동,633,"3,383","1,646",510,199,"2,399","1,161",340,199,134,87
강서구,가양3동,904,"7,374","2,841",540,168,"5,491","2,222","1,128",353,215,98
강서구,발산1동,"3,375","19,865","9,215","2,675","1,091","13,556","6,146","2,613","1,421","1,021",557
강서구,공항동,"2,040","36,149","18,219","1,766",748,"32,437","16,494","1,740",902,206,75
강서구,방화1동,"2,621","11,003","5,774","2,580","1,122","6,656","3,535","1,197",784,570,333
강서구,방화2동,"3,279","14,018","5,508","2,971",816,"8,864","3,596","1,982",968,201,128
강서구,방화3동,893,"4,698","2,127",829,295,"2,813","1,140",454,285,602,407
강서구,화곡1동,"3,048","10,879","5,032","3,160","1,372","4,201","2,347","3,055","1,057",463,256
강서구,우장산동,"1,664","7,981","4,511","1,651",781,"4,556","2,671","1,150",546,624,513
구로구,소계,"38,756","225,668","96,946","32,537","12,291","159,631","67,904","26,241","12,305","7,259","4,446"
구로구,신도림동,"2,784","15,121","7,719","2,335",854,"9,921","5,175","1,702",919,"1,163",771
구로구,구로1동,728,"3,603","1,731",728,307,"1,592",748,"1,251",655,32,21
구로구,구로3동,"7,883","92,379","35,909","3,516","1,359","78,786","30,450","8,013","3,201","2,064",899
구로구,구로4동,"2,133","6,044","3,360","2,378","1,238","2,613","1,461",851,509,202,152
구로구,구로5동,"4,477","26,529","11,628","3,892","1,198","16,129","7,238","4,344","1,693","2,164","1,499"
구로구,고척1동,"2,541","10,116","4,350","2,539",857,"5,683","2,597","1,610",742,284,154
구로구,고척2동,"1,460","4,177","2,165","1,526",636,"1,912","1,137",649,357,90,35
구로구,개봉2동,"1,212","3,361","1,857","1,333",572,"1,342",860,542,311,144,114
구로구,개봉3동,"1,020","7,391","3,286","1,063",464,"5,835","2,551",468,261,25,10
구로구,오류1동,"1,187","4,795","2,481","1,195",539,"2,618","1,403",906,490,76,49
구로구,오류2동,"1,729","9,157","3,949","1,615",622,"6,200","2,654","1,250",619,92,54
구로구,수궁동,"1,258","6,199","2,426","1,160",415,"4,135","1,514",832,448,72,49
구로구,가리봉동,993,"3,179","1,927","1,165",591,"1,348",850,411,243,255,243
구로구,구로2동,"7,653","28,133","11,222","6,318","1,871","18,918","7,798","2,457","1,300",440,253
구로구,개봉1동,"1,698","5,484","2,936","1,774",768,"2,599","1,468",955,557,156,143
금천구,소계,"33,814","242,686","92,097","24,520","9,340","180,767","68,503","30,636","11,017","6,763","3,237"
금천구,가산동,"16,661","170,886","60,313","7,699","2,768","137,656","49,102","21,127","6,544","4,404","1,899"
금천구,독산1동,"4,037","25,241","10,157","3,476","1,339","17,196","6,643","3,503","1,627","1,066",548
금천구,독산2동,"1,154","3,514","1,682","1,237",523,"1,368",719,786,358,123,82
금천구,독산3동,"2,087","6,500","3,338","2,330","1,010","3,131","1,763",936,481,103,84
금천구,독산4동,994,"3,130","1,588","1,138",493,"1,383",719,539,333,70,43
금천구,시흥1동,"3,078","15,728","7,976","3,079","1,378","10,439","5,391","1,655",845,555,362
금천구,시흥2동,651,"2,009","1,194",618,203,"1,107",805,148,88,136,98
금천구,시흥3동,"3,167","10,083","2,997","2,832",721,"5,813","1,954","1,270",290,168,32
금천구,시흥4동,853,"2,034","1,144",897,347,900,654,163,88,74,55
금천구,시흥5동,"1,132","3,561","1,708","1,214",558,"1,774",753,509,363,64,34
영등포구,소계,"42,370","373,478","155,828","34,503","13,592","290,507","120,280","37,219","16,810","11,249","5,146"
영등포구,여의도동,"8,132","160,633","60,484","3,979","1,823","141,527","52,362","12,739","5,393","2,388",906
영등포구,당산1동,"3,107","19,234","9,925","2,589",992,"13,440","7,276","1,916",881,"1,289",776
영등포구,당산2동,"2,289","22,947","9,309","1,698",719,"17,522","6,652","2,320","1,168","1,407",770
영등포구,양평1동,"3,068","24,084","10,186","2,492",568,"17,310","7,867","3,073","1,220","1,209",531
영등포구,양평2동,"2,182","19,921","7,760","1,522",594,"16,308","6,353","1,369",695,722,118
영등포구,신길1동,"1,091","5,280","2,759","1,157",523,"3,555","1,895",550,331,18,10
영등포구,신길3동,"1,369","2,905","1,276","1,430",417,"1,090",660,332,174,53,25
영등포구,신길4동,433,"1,461",822,466,175,668,429,200,108,127,110
영등포구,신길5동,526,"2,563","1,042",528,221,"1,218",531,791,283,26,7
영등포구,신길6동,"1,228","4,904","2,652","1,192",528,"3,050","1,704",503,282,159,138
영등포구,신길7동,620,"2,932","1,536",560,248,"2,001","1,040",198,116,173,132
영등포구,대림1동,"1,064","4,517","2,714","1,139",535,"2,716","1,811",555,298,107,70
영등포구,대림2동,"1,378","4,520","2,359","1,565",808,"2,134","1,001",750,488,71,62
영등포구,대림3동,"2,262","10,193","4,421","2,202",905,"6,229","2,604","1,383",709,379,203
영등포구,영등포본동,"1,410","5,361","2,751","1,341",640,"3,202","1,636",756,438,62,37
영등포구,영등포동,"5,883","34,391","16,441","5,374","2,218","24,000","11,849","3,566","1,887","1,451",487
영등포구,도림동,"1,021","2,975","1,222",991,384,"1,417",569,429,219,138,50
영등포구,문래동,"5,307","44,657","18,169","4,278","1,294","33,120","14,041","5,789","2,120","1,470",714
동작구,소계,"19,793","106,159","53,862","20,531","9,255","62,028","31,671","17,311","8,955","6,289","3,981"
동작구,노량진2동,"1,706","7,779","3,843","2,124",977,"4,297","2,067",902,466,456,333
동작구,상도1동,"1,765","8,821","4,421","1,740",764,"4,358","2,181","2,132","1,091",591,385
동작구,상도2동,"1,398","5,299","2,777","1,413",656,"2,832","1,524",919,508,135,89
동작구,상도3동,"1,011","3,477","1,960","1,085",472,"1,453",938,541,279,398,271
동작구,상도4동,"1,008","3,105","1,777","1,092",449,"1,567","1,006",375,254,71,68
동작구,사당1동,"1,790","9,815","4,577","1,750",769,"4,861","2,124","1,446",733,"1,758",951
동작구,사당3동,936,"4,032","2,018",869,373,"2,510","1,297",556,274,97,74
동작구,사당4동,659,"1,953","1,024",743,326,814,493,241,130,155,75
동작구,사당5동,519,"1,646",837,514,197,845,484,166,78,121,78
동작구,대방동,"1,693","11,691","5,216","1,567",686,"7,279","3,464","2,205",660,640,406
동작구,신대방1동,"1,035","4,210","1,813","1,110",529,"1,907",984,"1,022",158,171,142
동작구,신대방2동,"1,227","19,081","9,988","1,065",489,"14,541","6,944","2,612","1,926",863,629
동작구,흑석동,"1,557","10,324","5,698","1,636",821,"6,709","3,691","1,734","1,053",245,133
동작구,노량진1동,"1,856","8,214","4,133","2,024",900,"4,324","2,314","1,520",792,346,127
동작구,사당2동,"1,633","6,712","3,780","1,799",847,"3,731","2,160",940,553,242,220
관악구,소계,"25,505","115,329","55,645","26,170","11,264","59,196","30,225","23,785","10,609","6,178","3,547"
관악구,보라매동,"1,367","6,557","3,259","1,250",596,"4,024","1,995",662,366,621,302
관악구,청림동,451,"1,385",815,486,242,697,440,156,99,46,34
관악구,행운동,"1,372","6,845","3,760","1,445",690,"2,974","1,755","2,092","1,098",334,217
관악구,낙성대동,"1,296","7,867","3,565","1,249",528,"4,535","1,989","1,663",840,420,208
관악구,중앙동,965,"5,516","2,252",980,416,"2,278","1,335","2,023",308,235,193
관악구,인헌동,"1,053","3,578","1,913","1,128",509,"1,846","1,054",460,259,144,91
관악구,남현동,872,"4,957","2,302",788,342,"2,780","1,462",910,371,479,127
관악구,서원동,"1,279","7,459","3,995","1,238",542,"4,127","2,319","1,897",968,197,166
관악구,신원동,814,"2,356","1,347",958,455,"1,019",667,309,172,70,53
관악구,서림동,"1,115","3,245","1,346","1,185",393,"1,484",673,450,207,126,73
관악구,신사동,"1,359","4,356","2,094","1,422",624,"1,869",964,675,271,390,235
관악구,신림동,"1,687","6,638","3,344","1,872",848,"2,579","1,301","1,550",831,637,364
관악구,난향동,397,"1,886",942,372,157,"1,364",694,144,85,6,6
관악구,조원동,"2,150","7,116","3,119","2,265",838,"3,202","1,340","1,074",563,575,378
관악구,대학동,"1,636","15,017","6,843","1,600",724,"9,104","4,251","4,072","1,764",241,104
관악구,은천동,"1,562","6,658","2,983","1,592",682,"3,156","1,527","1,462",457,448,317
관악구,성현동,821,"2,951","1,504",804,328,"1,462",892,410,196,275,88
관악구,청룡동,"1,855","10,350","4,683","1,801",825,"5,949","2,755","2,139",802,461,301
관악구,난곡동,954,"2,452","1,312","1,033",384,"1,120",748,275,161,24,19
관악구,삼성동,"1,010","2,618","1,380","1,125",474,"1,016",580,313,170,164,156
관악구,미성동,"1,490","5,522","2,887","1,577",667,"2,611","1,484","1,049",621,285,115
서초구,소계,"46,940","438,985","177,838","32,355","14,275","322,617","135,234","68,785","20,049","15,228","8,280"
서초구,서초1동,"3,811","32,022","13,336","2,330",890,"25,414","10,722","3,556","1,338",722,386
서초구,서초2동,"5,072","53,003","18,980","2,590","1,177","36,820","15,241","12,120","1,864","1,473",698
서초구,서초3동,"7,725","81,064","32,105","4,773","1,696","65,287","26,625","7,846","2,501","3,158","1,283"
서초구,서초4동,"3,012","28,529","14,790","2,179",923,"22,860","11,742","2,345","1,373","1,145",752
서초구,잠원동,"2,199","18,054","7,819","1,620",755,"12,184","4,937","2,508","1,262","1,742",865
서초구,반포본동,665,"2,326","1,273",607,358,"1,299",627,413,283,7,5
서초구,반포1동,"1,737","10,255","4,374","1,339",648,"5,852","2,690","2,821",906,243,130
서초구,반포2동,306,"2,142","1,175",253,148,"1,604",829,244,174,41,24
서초구,반포3동,964,"7,502","3,520",857,469,"4,972","2,335","1,211",465,462,251
서초구,반포4동,"3,291","29,877","15,250","2,876","1,567","22,727","11,544","3,737","1,801",537,338
서초구,방배본동,"1,623","10,497","4,946","1,339",673,"7,673","3,473","1,176",632,309,168
서초구,방배1동,"1,907","16,332","6,896","1,392",633,"8,368","3,927","5,376","1,402","1,196",934
서초구,방배2동,"1,852","17,806","8,285","1,415",624,"12,122","5,757","2,892",931,"1,377",973
서초구,방배3동,"1,186","13,826","4,411",834,371,"8,719","3,106","3,388",474,885,460
서초구,방배4동,"2,149","14,635","6,256","1,626",719,"9,461","4,478","2,946",662,602,397
서초구,양재1동,"3,616","44,006","15,935","2,305",960,"33,714","12,672","7,308","1,916",679,387
서초구,양재2동,"4,989","48,262","15,214","3,229","1,308","36,854","12,072","7,654","1,686",525,148
서초구,내곡동,836,"8,847","3,273",791,356,"6,687","2,457","1,244",379,125,81
강남구,소계,"71,027","698,840","310,956","44,208","19,018","555,690","248,112","75,678","32,367","23,264","11,459"
강남구,신사동,"4,140","26,210","14,106","2,957","1,300","19,223","10,577","3,379","1,875",651,354
강남구,논현1동,"5,309","41,829","19,953","3,516","1,451","32,419","15,864","4,196","1,828","1,698",810
강남구,논현2동,"5,596","62,264","25,557","3,165","1,341","47,921","20,610","6,586","2,171","4,592","1,435"
강남구,삼성1동,"4,079","63,573","26,578","1,782",808,"55,251","22,932","5,806","2,543",734,295
강남구,삼성2동,"3,661","37,531","17,964","2,014",899,"30,726","14,565","4,006","2,008",785,492
강남구,대치1동,"1,068","6,451","3,602",851,433,"4,212","2,396",840,475,548,298
강남구,대치4동,"3,677","31,920","13,483","2,690","1,186","24,766","9,857","2,751","1,507","1,713",933
강남구,역삼1동,"15,451","155,883","65,738","8,014","3,267","127,369","52,673","14,967","6,941","5,533","2,857"
강남구,역삼2동,"3,775","38,437","17,093","2,131",946,"30,926","13,577","3,886","1,637","1,494",933
강남구,도곡1동,"1,596","17,066","7,589","1,067",492,"12,216","5,772","3,282","1,018",501,307
강남구,도곡2동,"1,828","19,895","7,922","1,089",544,"15,282","6,444","2,949",776,575,158
강남구,개포1동,169,875,211,163,72,673,123,35,14,4,2
강남구,개포4동,"1,884","10,524","4,084","1,354",523,"7,223","2,897","1,810",611,137,53
강남구,일원본동,500,"9,755","6,947",456,248,"8,899","6,443",381,240,19,16
강남구,일원1동,"2,123","6,888","2,451","2,111",394,"3,077","1,472","1,655",558,45,27
강남구,일원2동,564,"9,506","2,843",473,219,"8,421","2,210",326,201,286,213
강남구,수서동,"1,504","18,055","7,692",846,338,"13,720","6,166","3,164",950,325,238
강남구,세곡동,"1,338","7,062","3,192","1,066",431,"5,007","2,240",834,440,155,81
강남구,압구정동,"3,919","29,427","16,284","2,750","1,278","22,682","12,670","3,065","1,745",930,591
강남구,청담동,"4,212","38,137","20,010","2,757","1,408","29,670","15,823","4,855","2,177",855,602
강남구,대치2동,"3,897","64,496","25,951","2,256","1,099","54,009","21,605","6,591","2,511","1,640",736
강남구,개포2동,737,"3,056","1,706",700,341,"1,998","1,196",314,141,44,28
송파구,소계,"48,644","341,201","138,988","39,330","16,864","233,814","95,765","59,018","21,077","9,039","5,282"
송파구,풍납1동,730,"2,489","1,382",777,338,"1,200",674,342,224,170,146
송파구,풍납2동,"1,151","16,316","10,075","1,065",442,"13,998","8,925","1,144",687,109,21
송파구,거여1동,826,"3,649","1,818",814,304,"2,236","1,102",481,306,118,106
송파구,거여2동,841,"4,560","2,135",780,302,"3,073","1,518",638,278,69,37
송파구,마천1동,994,"2,411","1,118","1,028",390,"1,000",537,328,164,55,27
송파구,마천2동,"1,350","4,236","1,980","1,358",553,"2,311","1,065",543,352,24,10
송파구,방이1동,"1,317","8,454","3,440","1,128",514,"5,444","2,208","1,637",587,245,131
송파구,방이2동,"3,125","19,808","7,672","2,406","1,021","13,789","5,451","2,733",819,880,381
송파구,오륜동,496,"5,724","2,565",386,232,"4,713","2,015",609,305,16,13
송파구,오금동,"2,397","16,687","7,325","2,133",856,"12,225","5,467","2,199",908,130,94
송파구,송파1동,"2,509","14,692","5,555","2,245",891,"5,682","2,314","6,138","1,901",627,449
송파구,송파2동,836,"4,149","2,035",774,381,"2,490","1,293",684,256,201,105
송파구,석촌동,"2,666","15,306","6,213","2,392","1,062","8,391","3,577","3,554",848,969,726
송파구,삼전동,"2,028","11,418","4,182","1,917",812,"5,472","2,384","3,708",805,321,181
송파구,가락본동,"3,489","25,440","9,798","2,554","1,062","16,675","6,794","5,244","1,384",967,558
송파구,가락1동,"2,988","11,391","3,717","1,208",519,"9,340","2,859",690,299,153,40
송파구,가락2동,"1,901","9,763","4,468","1,707",785,"6,138","2,915","1,691",647,227,121
송파구,문정1동,"1,295","6,194","2,550","1,099",473,"4,149","1,616",869,413,77,48
송파구,문정2동,"7,131","59,850","19,515","4,192","1,488","44,941","15,062","9,914","2,690",803,275
송파구,장지동,"1,337","9,229","3,197","1,217",473,"6,897","2,208","1,024",463,91,53
송파구,위례동,667,"3,859","1,733",601,314,"2,726","1,053",511,352,21,14
송파구,잠실본동,"3,042","19,197","7,799","3,026","1,385","10,450","4,372","5,116","1,660",605,382
송파구,잠실4동,383,"1,696","1,161",383,207,960,710,333,224,20,20
송파구,잠실6동,"2,629","49,280","18,668","1,859",710,"40,517","14,602","5,303","2,267","1,601","1,089"
송파구,잠실7동,196,"1,284",723,186,107,779,454,178,92,141,70
송파구,잠실2동,777,"4,583","2,512",783,474,"2,843","1,515",708,436,249,87
송파구,잠실3동,"1,543","9,536","5,652","1,312",769,"5,375","3,075","2,699","1,710",150,98
강동구,소계,"29,080","141,770","67,070","29,062","11,889","84,054","40,076","22,352","10,603","6,302","4,502"
강동구,강일동,962,"17,586","4,287",834,278,"14,819","3,449","1,788",443,145,117
강동구,상일동,918,"5,176","2,942",946,365,"3,567","2,192",586,331,77,54
강동구,명일1동,"1,739","6,643","3,913","1,854",873,"3,056","1,800","1,114",705,619,535
강동구,명일2동,987,"3,944","2,256",953,459,"2,141","1,329",674,368,176,100
강동구,고덕1동,732,"2,670","1,468",730,322,"1,446",859,357,175,137,112
강동구,고덕2동,677,"2,548","1,436",701,296,"1,222",730,309,189,316,221
강동구,암사2동,838,"3,711","2,064",821,346,"2,177","1,226",617,416,96,76
강동구,암사3동,576,"2,185","1,145",561,237,"1,138",665,429,196,57,47
강동구,천호1동,"1,534","5,332","2,717","1,584",620,"2,582","1,423",839,393,327,281
강동구,천호3동,"1,830","7,474","3,576","1,895",811,"4,010","1,873",995,465,574,427
강동구,성내1동,"2,048","17,777","8,056","1,703",689,"12,377","6,049","3,249","1,060",448,258
강동구,성내2동,"1,836","6,770","3,517","1,867",801,"2,797","1,447","1,029",504,"1,077",765
강동구,성내3동,"2,439","9,117","4,130","2,458","1,096","4,887","2,252","1,463",646,309,136
강동구,둔촌1동,17,283,88,9,5,251,68,22,14,1,1
강동구,둔촌2동,"1,553","9,463","4,787","1,517",628,"6,603","3,553","1,100",426,243,180
강동구,암사1동,"1,918","5,646","2,869","2,125",901,"2,288","1,260","1,116",627,117,81
강동구,천호2동,"3,439","14,208","7,680","3,369","1,506","7,416","4,041","2,703","1,623",720,510
강동구,길동,"5,037","21,237","10,139","5,135","1,656","11,277","5,860","3,962","2,022",863,601
