구,행정동,사업체수,사업체수,종사자수,종사자수,종사자수,A. 농업 임업 및 어업,A. 농업 임업 및 어업,B. 광업,B. 광업,C. 제조업,C. 제조업,D. 전기 가스 증기 및 공기조절 공급업,D. 전기 가스 증기 및 공기조절 공급업,E. 수도 하수 및 폐기물 처리 원료 재생업,E. 수도 하수 및 폐기물 처리 원료 재생업,F. 건설업,F. 건설업,G. 도매 및 소매업,G. 도매 및 소매업,H. 운수 및 창고업,H. 운수 및 창고업,I. 숙박 및 음식점업,I. 숙박 및 음식점업,J. 정보통신업,J. 정보통신업,K. 금융 및 보험업,K. 금융 및 보험업,L. 부동산업,L. 부동산업,M. 전문 과학 및 기술 서비스업,M. 전문 과학 및 기술 서비스업,N. 사업시설 관리 사업 지원 및 임대 서비스업,N. 사업시설 관리 사업 지원 및 임대 서비스업,O. 공공행정 국방 및 사회보장 행정,O. 공공행정 국방 및 사회보장 행정,P. 교육 서비스업,P. 교육 서비스업,Q. 보건업 및 사회복지 서비스업,Q. 보건업 및 사회복지 서비스업,R. 예술 스포츠 및 여가관련 서비스업,R. 예술 스포츠 및 여가관련 서비스업,S. 협회 및 단체 수리 및 기타 개인 서비스업,S. 협회 및 단체 수리 및 기타 개인 서비스업
구,행정동,사업체수,여성대표자,계,남,여,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
합계,합계,"823,624","281,318","5,226,997","2,885,614","2,341,383",24,426,20,43,"57,321","265,273",225,"6,234",475,"9,158","21,626","362,785","220,055","899,642","94,759","264,181","132,475","493,912","23,356","360,062","11,444","266,110","43,611","166,094","42,782","485,150","16,354","472,573","1,296","141,582","35,761","351,320","29,168","400,143","23,527","92,752","69,345","189,557"
종로구,소계,"39,679","13,356","260,446","146,392","114,054",3,18,5,10,"4,462","13,180",16,489,7,131,342,"24,112","16,128","42,172","1,436","7,606","6,709","26,606",785,"16,278",587,"23,389","1,405","6,341","1,572","22,550","1,211","17,932",94,"15,109",829,"13,474",750,"17,366",899,"6,034","2,439","7,649"
종로구,사직동,"3,574","1,203","47,522","25,154","22,368",1,12,1,2,104,359,3,11,2,34,39,688,541,"2,726",229,"2,513",886,"4,124",154,"2,133",146,"7,794",168,"1,091",366,"8,098",378,"7,408",23,"6,088",83,786,106,"1,096",91,"1,653",253,906
종로구,삼청동,732,327,"4,601","2,271","2,330",-,-,-,-,18,40,-,-,-,-,7,57,267,910,21,93,222,874,17,76,11,63,21,35,50,348,26,108,4,"1,291",17,297,7,30,19,185,25,194
종로구,부암동,599,255,"3,454","1,764","1,690",-,-,1,1,31,158,-,-,-,-,23,76,108,550,37,39,128,394,30,126,3,29,28,91,31,110,19,73,3,60,38,"1,190",19,183,18,49,82,325
종로구,평창동,761,328,"3,447","1,518","1,929",-,-,1,4,23,142,-,-,-,-,19,87,158,638,38,120,139,551,24,88,9,55,66,168,35,107,15,41,3,90,48,425,38,480,33,185,112,266
종로구,무악동,647,102,"1,644",872,772,-,-,-,-,4,6,-,-,-,-,9,53,53,121,424,442,34,105,3,13,2,17,19,94,5,5,3,12,1,12,28,177,10,486,5,11,47,90
종로구,교남동,413,178,"4,581","1,481","3,100",-,-,-,-,8,20,-,-,-,-,11,36,90,287,27,52,80,284,13,72,7,37,40,111,15,96,9,20,2,37,19,176,25,"3,139",11,44,56,170
종로구,가회동,765,351,"12,817","9,546","3,271",-,-,-,-,34,281,-,-,-,-,12,"6,585",172,481,22,56,242,877,18,"1,053",11,105,25,69,60,"1,386",19,232,3,495,35,691,15,93,40,190,57,223
종로구,종로1.2.3.4가동,"15,472","4,920","108,747","65,713","43,034",-,-,2,3,"1,872","5,329",8,472,3,19,77,"15,721","7,063","18,420",172,"2,361","2,410","10,882",293,"9,611",239,"12,295",482,"3,049",620,"8,991",536,"7,616",24,"4,944",302,"3,225",203,"1,645",246,"1,329",920,"2,835"
종로구,종로5·6가동,"7,238","2,396","24,537","14,825","9,712",1,1,-,-,992,"2,780",2,2,-,-,26,122,"4,667","10,587",67,"1,152",620,"1,978",69,"1,813",35,"1,166",163,576,101,803,66,"1,477",5,314,35,242,98,467,44,159,247,898
종로구,이화동,"1,191",407,"17,244","7,708","9,536",1,5,-,-,88,468,1,2,-,-,15,54,229,"1,175",32,64,360,"1,871",46,734,7,64,53,162,62,"1,169",15,67,3,86,40,"2,315",31,"7,921",129,700,79,387
종로구,창신1동,"2,179",707,"5,907","2,978","2,929",-,-,-,-,313,748,-,-,1,41,7,27,"1,213","2,482",54,144,252,735,10,29,46,546,54,180,27,76,21,72,1,17,11,108,46,406,34,110,89,186
종로구,창신2동,864,300,"2,216","1,051","1,165",-,-,-,-,397,"1,119",-,-,-,-,12,19,120,223,44,46,124,296,6,8,4,38,18,30,9,11,10,24,2,37,5,33,26,189,17,34,70,109
종로구,창신3동,281,86,895,442,453,-,-,-,-,48,128,1,1,1,37,7,15,56,131,48,87,31,72,4,7,1,7,24,65,4,29,3,3,2,43,12,124,8,89,7,18,24,39
종로구,숭인1동,493,162,"1,545",687,858,-,-,-,-,166,537,-,-,-,-,9,26,90,255,43,72,43,129,8,12,2,15,19,58,14,35,7,17,1,17,12,34,23,220,6,23,50,95
종로구,숭인2동,"1,747",540,"6,886","3,090","3,796",-,-,-,-,288,920,1,1,-,-,28,256,746,"1,703",50,86,258,718,15,51,43,"1,001",86,250,32,297,29,577,4,103,23,397,22,194,38,175,84,157
종로구,청운효자동,"1,028",465,"5,656","2,950","2,706",-,-,-,-,42,76,-,-,-,-,22,92,256,593,49,130,265,711,32,147,12,68,52,108,77,396,20,86,8,"1,277",42,672,27,457,27,520,97,323
종로구,혜화동,"1,695",629,"8,747","4,342","4,405",-,-,-,-,34,69,-,-,-,-,19,198,299,890,79,149,615,"2,005",43,305,9,89,87,204,64,593,35,99,5,198,79,"2,582",46,271,134,649,147,446
중구,소계,"60,127","22,451","392,568","213,484","179,084",-,-,1,5,"9,018","28,901",4,706,12,357,372,"7,335","30,681","95,562","1,495","13,924","6,250","34,751",957,"25,640","1,301","51,429","1,780","9,455","2,758","36,390","1,501","37,159",65,"20,287",502,"8,598",760,"10,342",558,"3,637","2,112","8,090"
중구,소공동,"3,849","1,163","64,144","36,680","27,464",-,-,-,-,76,233,1,3,2,22,21,638,"1,291","9,386",264,"5,776",740,"7,382",92,"4,048",254,"16,313",145,"1,065",366,"7,345",255,"8,028",5,364,43,853,65,772,42,444,187,"1,472"
중구,회현동,"8,566","4,391","45,216","23,422","21,794",-,-,1,5,206,740,-,-,-,-,18,606,"6,763","19,341",101,"2,149",601,"3,486",48,"2,978",149,"6,155",164,"1,059",100,"4,212",80,"1,742",7,485,26,320,74,728,32,709,196,501
중구,명동,"6,965","1,991","110,390","59,638","50,752",-,-,-,-,257,993,3,703,2,29,34,631,"1,781","12,006",258,"3,367","1,345","8,482",289,"11,932",551,"23,538",379,"3,266",611,"10,640",629,"13,961",17,"14,632",80,"1,038",181,"2,197",73,480,475,"2,495"
중구,필동,"2,886",782,"22,404","12,611","9,793",-,-,-,-,984,"4,115",-,-,1,33,17,133,356,"1,505",33,180,475,"1,706",129,"2,297",44,879,108,264,415,"2,426",73,"2,793",6,"1,184",53,"3,488",37,576,46,433,109,392
중구,장충동,819,238,"9,181","5,254","3,927",-,-,-,-,101,493,-,-,2,166,12,"1,088",234,"1,579",25,84,166,"2,021",37,626,10,69,35,273,70,"1,201",25,685,3,144,15,84,12,66,18,423,54,179
중구,광희동,"8,472","3,019","36,451","20,148","16,303",-,-,-,-,"2,307","7,001",-,-,-,-,39,497,"4,168","11,366",95,497,732,"3,259",94,"1,043",91,871,169,"1,039",374,"5,330",115,"1,493",3,"1,435",30,246,45,"1,655",51,149,159,570
중구,을지로동,"8,812","1,969","35,333","22,812","12,521",-,-,-,-,"3,399","8,931",-,-,-,-,48,"2,630","3,455","10,276",70,360,629,"3,372",121,"1,115",86,"1,596",201,540,431,"2,189",83,"2,341",4,388,18,113,46,856,59,214,162,412
중구,신당5동,"1,193",471,"4,057","1,974","2,083",-,-,-,-,274,"1,073",-,-,1,1,24,108,303,801,62,95,225,551,10,44,6,95,54,126,22,87,9,25,2,44,17,299,45,447,38,91,101,170
중구,황학동,"1,947",635,"5,643","3,210","2,433",-,-,-,-,185,431,-,-,-,-,11,127,"1,123","2,762",54,104,265,698,4,11,17,174,66,172,31,112,14,426,2,23,18,93,29,196,31,81,97,233
중구,중림동,"1,016",330,"7,530","3,578","3,952",-,-,-,-,64,429,-,-,1,33,11,60,240,"1,160",78,551,236,810,30,973,29,702,51,178,49,956,30,382,3,49,30,355,44,315,23,114,97,463
중구,신당동,"11,459","6,001","29,891","12,919","16,972",-,-,-,-,549,"1,697",-,-,1,31,25,93,"9,855","21,210",69,174,323,"1,127",20,108,33,722,187,738,77,266,109,"1,064",7,"1,388",16,457,29,404,42,174,117,238
중구,다산동,"1,424",475,"9,742","5,014","4,728",-,-,-,-,173,728,-,-,-,-,49,338,379,"1,495",121,176,204,811,40,268,12,132,65,168,96,"1,046",41,"3,227",1,22,43,407,52,475,39,106,109,343
중구,약수동,833,323,"4,122","1,753","2,369",-,-,-,-,44,199,-,-,1,24,23,108,192,674,105,200,125,452,16,44,7,49,52,248,39,169,15,134,3,92,39,204,50,"1,235",22,82,100,208
중구,청구동,881,320,"4,419","2,598","1,821",-,-,-,-,126,603,-,-,1,18,27,232,241,827,96,139,86,319,19,131,7,76,47,143,47,192,13,773,1,19,49,454,26,232,18,60,77,201
중구,동화동,"1,005",343,"4,045","1,873","2,172",-,-,-,-,273,"1,235",-,-,-,-,13,46,300,"1,174",64,72,98,275,8,22,5,58,57,176,30,219,10,85,1,18,25,187,25,188,24,77,72,213
용산구,소계,"20,254","7,074","135,240","74,570","60,670",-,-,-,-,905,"2,955",3,5,12,145,403,"6,686","6,842","31,996","1,205","3,951","4,594","18,282",459,"9,718",251,"5,090","1,223","4,314",858,"15,994",361,"10,766",47,"3,101",537,"6,973",562,"7,147",401,"2,623","1,591","5,494"
용산구,후암동,928,355,"3,658","1,856","1,802",-,-,-,-,51,162,-,-,-,-,31,155,220,687,118,122,198,601,27,427,6,24,56,158,35,97,8,197,3,107,39,244,38,349,14,130,84,198
용산구,용산2가동,601,204,"2,070",944,"1,126",-,-,-,-,22,48,-,-,-,-,9,25,126,264,71,105,210,635,8,83,2,10,29,47,25,64,6,18,1,20,16,448,13,146,10,66,53,91
용산구,남영동,"1,619",583,"20,322","11,367","8,955",-,-,-,-,71,331,1,3,2,17,30,"2,048",381,"3,810",47,943,512,"2,136",41,"1,050",45,"2,157",55,175,72,"3,460",65,"2,329",4,68,33,198,65,550,53,344,142,703
용산구,원효로2동,958,291,"6,846","4,318","2,528",-,-,-,-,28,113,-,-,2,63,28,197,412,"2,315",98,302,107,280,23,689,4,24,61,255,20,112,17,"1,756",1,18,40,329,20,172,17,40,80,181
용산구,효창동,418,131,"2,182","1,211",971,-,-,-,-,16,30,-,-,-,-,17,580,86,295,76,163,49,154,14,49,4,28,30,66,15,54,8,88,1,22,32,167,29,318,11,58,30,110
용산구,용문동,630,255,"1,789",817,972,-,-,-,-,32,93,-,-,-,-,26,74,193,646,77,93,117,275,4,23,3,17,32,66,7,10,4,26,1,23,23,58,27,245,12,22,72,118
용산구,이촌1동,812,399,"3,613","1,597","2,016",-,-,-,-,5,18,-,-,-,-,15,51,223,543,25,27,185,752,9,35,18,146,98,464,12,113,2,7,3,38,54,601,57,448,21,129,85,241
용산구,이촌2동,347,119,832,494,338,-,-,-,-,12,33,-,-,2,19,12,22,84,199,80,88,32,71,9,30,3,37,37,95,6,12,4,12,2,44,9,10,9,76,4,6,42,78
용산구,이태원1동,"1,538",634,"7,006","3,655","3,351",-,-,-,-,34,81,-,-,-,-,8,39,566,"1,505",33,84,618,"2,745",8,39,20,112,55,212,40,166,21,129,5,"1,320",8,90,21,273,20,64,81,147
용산구,이태원2동,720,267,"2,208","1,175","1,033",-,-,-,-,22,61,-,-,-,-,14,80,166,521,63,112,242,674,11,68,10,40,58,78,34,171,6,27,1,18,15,151,17,113,9,15,52,79
용산구,서빙고동,414,141,"4,683","2,651","2,032",-,-,-,-,13,43,-,-,1,2,18,924,113,792,55,236,53,180,11,468,4,19,34,226,21,154,5,33,2,46,24,236,11,72,8,733,41,519
용산구,보광동,840,340,"2,076","1,052","1,024",-,-,-,-,27,41,-,-,-,-,23,46,202,393,94,106,187,423,8,17,2,19,72,118,19,73,6,59,2,55,22,316,34,209,17,23,125,178
용산구,청파동,"1,685",633,"8,542","4,052","4,490",-,-,-,-,313,963,1,1,1,10,24,99,323,955,122,147,402,"1,016",39,331,11,95,80,145,39,678,34,375,3,34,55,"2,424",37,348,40,167,161,754
용산구,원효로1동,"1,758",519,"10,067","5,990","4,077",-,-,-,-,76,267,1,1,1,2,41,407,702,"3,429",84,158,322,941,50,293,31,413,102,278,80,683,31,"1,385",5,570,37,290,45,496,31,106,119,348
용산구,한강로동,"4,899","1,410","41,427","24,376","17,051",-,-,-,-,124,445,-,-,3,32,58,835,"2,528","12,633",76,"1,009",764,"3,783",150,"5,447",62,"1,208",257,"1,379",276,"7,621",95,"3,524",10,649,70,526,85,922,69,222,272,"1,192"
용산구,한남동,"2,087",793,"17,919","9,015","8,904",-,-,-,-,59,226,-,-,-,-,49,"1,104",517,"3,009",86,256,596,"3,616",47,669,26,741,167,552,157,"2,526",49,801,3,69,60,885,54,"2,410",65,498,152,557
성동구,소계,"28,343","8,563","178,243","102,769","75,474",2,5,-,-,"4,181","26,041",18,481,31,766,655,"6,330","7,457","33,180","2,781","8,814","3,935","12,957",917,"11,676",310,"3,686","1,456","5,799","1,687","16,671",448,"16,877",45,"4,127",995,"11,678",754,"9,255",592,"2,113","2,079","7,787"
성동구,왕십리2동,824,300,"2,757","1,283","1,474",-,-,-,-,165,582,-,-,-,-,25,131,149,425,115,287,105,286,6,21,6,54,68,171,9,31,7,47,2,28,35,220,34,289,17,45,81,140
성동구,마장동,"3,207",780,"12,056","7,921","4,135",-,-,-,-,282,969,2,148,2,27,44,364,"1,665","5,545",571,989,206,609,15,49,11,156,83,196,40,386,22,"1,100",2,49,47,375,50,620,30,114,135,360
성동구,사근동,"1,072",349,"10,842","5,097","5,745",-,-,-,-,44,139,-,-,2,4,10,29,151,543,67,105,464,"1,756",22,97,7,59,49,123,45,876,15,29,3,226,48,"4,383",11,"2,103",61,150,73,220
성동구,행당1동,"1,388",537,"8,651","4,223","4,428",-,-,-,-,90,254,1,1,2,198,29,348,360,"1,252",110,211,310,"1,327",18,174,13,127,67,250,28,162,18,101,7,"2,283",81,506,73,665,43,255,138,537
성동구,행당2동,627,291,"2,050",817,"1,233",-,-,-,-,15,34,-,-,-,-,20,63,112,310,116,127,67,228,1,1,4,38,46,207,6,19,2,6,2,52,89,550,44,244,14,45,89,126
성동구,응봉동,369,133,"1,028",495,533,-,-,-,-,9,19,-,-,1,2,16,41,62,118,103,124,36,98,2,3,1,3,22,94,1,5,1,6,2,44,42,292,16,91,10,16,45,72
성동구,금호1가동,567,213,"2,100",926,"1,174",-,-,-,-,38,139,-,-,-,-,17,97,89,275,112,135,68,202,4,8,4,35,42,131,11,21,5,33,2,48,55,458,37,294,16,72,67,152
성동구,금호4가동,657,288,"2,026",895,"1,131",-,-,-,-,32,86,-,-,1,2,11,108,128,343,76,90,118,353,1,4,6,57,54,131,21,55,6,16,2,21,38,271,39,245,26,61,98,183
성동구,성수1가1동,"1,792",506,"10,716","6,274","4,442",-,-,-,-,419,"2,069",-,-,1,123,32,169,362,"1,946",134,208,175,592,94,"1,163",16,205,119,443,185,"1,634",23,407,2,23,69,594,28,216,35,401,98,523
성동구,성수1가2동,"2,877",768,"21,512","12,757","8,755",1,2,-,-,464,"3,016",7,12,5,55,82,843,635,"4,416",179,"1,326",418,"1,363",248,"3,114",27,375,130,696,333,"2,378",63,"2,200",3,28,66,428,43,541,46,102,127,617
성동구,성수2가1동,"2,526",695,"18,394","11,628","6,766",-,-,-,-,620,"4,213",-,-,-,-,53,540,646,"3,233",185,600,362,"1,080",91,"2,101",7,60,99,270,127,"3,012",28,"1,133",5,758,29,387,46,298,50,116,178,593
성동구,성수2가3동,"5,805","1,298","53,249","32,742","20,507",-,-,-,-,"1,370","12,093",6,14,4,24,168,"2,763","1,426","9,249",409,"1,534",527,"1,864",334,"4,564",58,"1,070",259,"1,823",626,"6,439",144,"7,226",2,58,77,"1,255",56,514,94,310,245,"2,449"
성동구,송정동,711,195,"2,709","1,617","1,092",-,-,-,-,103,433,-,-,2,3,30,206,143,359,122,160,80,158,8,26,1,1,31,57,71,466,6,21,2,273,18,92,15,178,13,24,66,252
성동구,용답동,"1,864",511,"13,279","8,586","4,693",1,3,-,-,171,740,2,306,9,304,43,230,656,"2,543",133,"2,288",238,667,26,114,85,538,78,224,69,764,48,"3,116",2,53,34,207,45,488,35,89,189,605
성동구,왕십리도선동,"2,176",855,"10,015","4,417","5,598",-,-,-,-,247,852,-,-,2,24,31,214,498,"1,722",140,310,428,"1,465",29,178,52,821,158,539,68,194,46,765,3,80,123,824,109,"1,402",52,143,190,482
성동구,금호2.3가동,"1,013",451,"2,670","1,142","1,528",-,-,-,-,79,229,-,-,-,-,18,59,208,403,139,167,207,472,2,9,7,46,63,146,13,65,6,32,2,51,50,195,58,484,22,95,139,217
성동구,옥수동,868,393,"4,189","1,949","2,240",-,-,-,-,33,174,-,-,-,-,26,125,167,498,70,153,126,437,16,50,5,41,88,298,34,164,8,639,2,52,94,641,50,583,28,75,121,259
광진구,소계,"24,445","8,921","126,305","67,899","58,406",-,-,-,-,"1,657","6,935",3,8,16,242,782,"13,131","5,758","19,389","2,495","5,240","4,786","16,639",341,"3,264",221,"4,117","1,345","4,073",809,"5,071",467,"9,746",36,"2,678","1,209","14,184",916,"11,551","1,052","4,209","2,552","5,828"
광진구,화양동,"2,447",870,"15,023","7,686","7,337",-,-,-,-,71,217,-,-,-,-,41,318,410,"1,511",93,340,955,"3,783",44,213,15,98,133,318,75,700,57,373,2,106,79,"3,456",68,"2,578",181,485,223,527
광진구,군자동,"1,593",565,"10,021","5,224","4,797",-,-,-,-,127,460,-,-,-,-,43,215,333,"1,462",132,597,363,"1,123",35,173,20,249,79,160,44,524,38,"1,643",1,23,70,"2,265",63,595,63,136,182,396
광진구,중곡1동,"1,588",545,"6,288","3,164","3,124",-,-,-,-,252,"1,208",-,-,1,2,65,390,434,"1,347",153,296,252,550,15,103,7,50,75,132,43,154,28,589,2,49,36,88,48,965,42,61,135,304
광진구,중곡2동,"1,674",632,"6,959","3,631","3,328",-,-,-,-,167,684,-,-,-,-,70,608,361,"1,248",182,263,243,662,21,118,18,325,81,124,50,305,39,985,3,56,88,345,72,790,59,108,220,338
광진구,중곡3동,"1,301",476,"4,543","2,198","2,345",-,-,-,-,214,808,-,-,1,3,42,275,264,677,184,326,219,532,6,17,3,28,51,73,12,32,16,247,2,50,27,159,50,886,56,126,154,304
광진구,중곡4동,"1,524",542,"4,751","2,525","2,226",-,-,-,-,187,714,-,-,2,27,53,241,309,824,310,472,216,570,5,17,5,87,52,81,11,38,18,101,3,83,71,727,59,362,58,128,165,279
광진구,능동,802,284,"5,723","2,718","3,005",-,-,-,-,34,178,-,-,1,18,27,182,193,"1,088",73,149,147,488,14,96,16,455,48,101,44,191,17,311,3,79,36,"1,424",28,258,48,506,73,199
광진구,구의1동,"1,760",667,"6,989","3,769","3,220",-,-,-,-,87,320,1,1,2,19,67,763,353,"1,020",126,202,402,"1,125",28,154,18,159,120,223,112,375,31,473,5,545,62,461,55,607,93,169,198,373
광진구,구의2동,"1,309",465,"5,912","3,227","2,685",-,-,-,-,83,448,-,-,1,88,29,996,234,926,276,436,234,666,11,52,10,245,77,126,27,230,16,95,1,24,77,485,62,699,40,111,131,285
광진구,구의3동,"2,695",927,"16,544","9,530","7,014",-,-,-,-,42,245,-,-,2,9,66,"1,788","1,092","3,173",121,866,386,"1,517",52,"1,074",28,499,149,940,114,856,47,"2,408",1,26,193,983,91,705,94,336,217,"1,119"
광진구,광장동,"1,398",516,"16,114","10,261","5,853",-,-,-,-,49,242,1,4,3,46,67,"5,197",340,"1,524",71,111,210,"1,865",28,183,29,"1,457",118,610,68,386,34,714,2,61,135,"1,624",62,438,45,"1,362",136,290
광진구,자양1동,"1,780",688,"8,987","4,555","4,432",-,-,-,-,111,461,1,3,1,27,57,764,445,"1,292",174,245,301,906,33,164,14,147,95,217,71,465,38,856,3,"1,378",71,299,88,"1,231",65,140,212,392
광진구,자양2동,"1,433",488,"6,095","3,386","2,709",-,-,-,-,74,360,-,-,2,3,84,553,261,743,238,441,195,585,13,650,8,115,84,343,48,236,29,284,1,27,96,836,55,482,60,130,185,307
광진구,자양3동,"1,324",573,"6,185","2,780","3,405",-,-,-,-,37,132,-,-,-,-,30,177,284,"1,304",188,279,236,968,13,136,15,153,101,451,35,153,26,533,3,95,126,761,51,510,45,194,134,339
광진구,자양4동,"1,817",683,"6,171","3,245","2,926",-,-,-,-,122,458,-,-,-,-,41,664,445,"1,250",174,217,427,"1,299",23,114,15,50,82,174,55,426,33,134,4,76,42,271,64,445,103,217,187,376
동대문구,소계,"31,324","10,456","138,400","73,067","65,333",-,-,2,4,"3,146","12,956",2,3,20,143,735,"5,797","10,599","30,950","3,523","6,520","4,845","14,420",238,"1,931",260,"4,007","1,453","4,489",633,"7,325",446,"6,985",50,"3,430","1,027","16,657","1,051","15,154",762,"2,344","2,532","5,285"
동대문구,회기동,"1,034",418,"10,615","5,107","5,508",-,-,-,-,24,61,-,-,-,-,13,58,197,558,46,71,436,"1,373",16,209,11,69,33,70,23,104,15,55,2,39,50,"4,459",22,"3,041",59,174,87,274
동대문구,휘경1동,929,355,"3,558","1,628","1,930",-,-,-,-,55,208,-,-,1,2,28,180,212,"1,001",84,127,214,717,13,25,3,18,69,183,16,65,25,169,1,19,38,134,43,340,30,88,97,282
동대문구,휘경2동,"1,221",292,"4,930","2,345","2,585",-,-,-,-,35,169,-,-,1,3,22,130,148,440,600,617,130,317,5,14,3,18,57,145,8,24,13,60,7,242,53,"1,170",34,"1,405",26,39,79,137
동대문구,청량리동,"1,614",587,"8,267","4,363","3,904",-,-,-,-,94,239,-,-,2,12,34,244,393,"1,072",150,209,319,859,12,122,14,227,79,238,80,"1,495",29,191,4,602,50,781,86,"1,296",69,236,199,444
동대문구,용신동,"5,195","1,573","28,569","14,970","13,599",-,-,-,-,859,"3,420",2,3,4,39,139,"1,241","2,018","6,650",245,456,684,"2,043",63,525,82,"2,119",254,991,153,"2,341",104,"2,639",8,"1,632",95,"1,120",105,"2,228",83,452,297,670
동대문구,제기동,"4,632","1,600","13,499","7,712","5,787",-,-,1,1,385,"1,082",-,-,1,3,53,362,"2,741","6,124",176,331,522,"1,277",17,61,21,233,145,330,40,"1,299",29,154,3,98,66,514,156,"1,070",36,104,240,456
동대문구,전농1동,"2,262",879,"7,802","4,089","3,713",-,-,-,-,128,452,-,-,1,1,72,354,749,"2,118",219,891,455,"1,501",9,83,10,67,118,195,32,126,27,314,6,144,74,331,70,628,65,169,227,428
동대문구,전농2동,920,354,"4,853","2,488","2,365",-,-,-,-,53,200,-,-,-,-,23,69,167,389,173,176,133,404,9,18,5,29,36,107,27,236,7,12,2,152,88,"2,471",49,284,34,73,114,233
동대문구,답십리1동,"1,971",597,"8,041","4,135","3,906",-,-,1,3,128,869,-,-,1,2,37,484,607,"1,604",399,672,198,582,25,63,25,230,109,312,44,224,55,"1,238",2,66,87,492,75,784,37,104,141,312
동대문구,답십리2동,"2,187",620,"7,544","4,270","3,274",-,-,-,-,170,659,-,-,1,3,56,427,881,"2,536",307,415,219,624,7,20,11,122,99,494,23,164,21,280,3,31,59,277,93,929,53,130,184,433
동대문구,장안1동,"4,409","1,323","20,501","11,399","9,102",-,-,-,-,712,"3,321",-,-,4,10,123,"1,539","1,421","5,073",440,"1,209",558,"1,730",41,713,50,728,200,886,119,705,73,"1,628",6,249,82,502,107,"1,164",89,298,384,746
동대문구,장안2동,"3,071","1,155","11,503","5,334","6,169",-,-,-,-,430,"2,013",-,-,2,20,69,338,754,"2,584",383,604,532,"1,732",14,61,15,85,136,261,39,235,22,187,2,61,177,"1,091",117,"1,438",119,313,260,480
동대문구,이문1동,"1,191",448,"6,425","3,919","2,506",-,-,-,-,28,87,-,-,1,2,37,153,196,550,127,180,355,"1,039",6,16,7,53,69,150,25,293,25,55,2,70,59,"3,082",58,290,51,140,145,265
동대문구,이문2동,688,255,"2,293","1,308",985,-,-,-,-,45,176,-,-,1,46,29,218,115,251,174,562,90,222,1,1,3,9,49,127,4,14,1,3,2,25,49,233,36,257,11,24,78,125
중랑구,소계,"28,228","9,519","103,345","53,185","50,160",-,-,-,-,"3,423","14,695",6,118,21,206,965,"6,429","5,181","15,505","6,550","12,496","4,171","11,311",142,894,158,"1,741","1,161","3,100",386,"1,726",350,"3,092",47,"3,533",915,"7,925","1,031","13,013",968,"2,543","2,753","5,018"
중랑구,면목2동,"2,062",690,"6,306","3,174","3,132",-,-,-,-,463,"1,923",-,-,1,6,87,378,405,"1,028",354,591,273,603,14,70,4,17,72,150,23,83,12,75,2,84,54,280,51,632,49,95,198,291
중랑구,면목4동,"1,172",399,"3,839","2,158","1,681",-,-,-,-,187,783,-,-,1,1,56,263,165,400,288,863,142,287,4,10,7,37,47,105,20,68,12,35,6,73,58,394,34,260,27,99,118,161
중랑구,면목5동,830,239,"3,050","1,856","1,194",-,-,-,-,207,886,-,-,2,7,42,396,161,563,178,491,85,193,1,1,1,17,27,42,12,30,17,80,2,72,4,38,15,86,17,36,59,112
중랑구,면목7동,"1,477",554,"4,335","2,034","2,301",-,-,-,-,195,810,-,-,1,8,57,194,325,757,233,376,218,575,-,-,8,149,76,171,20,55,11,38,2,25,38,195,66,563,54,129,173,290
중랑구,상봉1동,"1,171",395,"6,638","3,499","3,139",-,-,-,-,76,562,-,-,-,-,32,458,278,941,281,"1,235",142,685,6,192,12,389,56,232,11,22,19,175,1,28,55,748,54,680,32,86,116,205
중랑구,상봉2동,"2,159",809,"9,306","4,812","4,494",-,-,-,-,226,910,1,1,1,1,60,330,413,"2,006",178,373,548,"1,648",21,189,23,302,116,288,47,464,49,678,3,132,32,290,66,840,179,494,196,360
