구,행정동,사업체수,사업체수,종사자수,종사자수,종사자수,A. 농업 임업 및 어업,A. 농업 임업 및 어업,B. 광업,B. 광업,C. 제조업,C. 제조업,D. 전기 가스 증기 및 공기조절 공급업,D. 전기 가스 증기 및 공기조절 공급업,E. 수도 하수 및 폐기물 처리 원료 재생업,E. 수도 하수 및 폐기물 처리 원료 재생업,F. 건설업,F. 건설업,G. 도매 및 소매업,G. 도매 및 소매업,H. 운수 및 창고업,H. 운수 및 창고업,I. 숙박 및 음식점업,I. 숙박 및 음식점업,J. 정보통신업,J. 정보통신업,K. 금융 및 보험업,K. 금융 및 보험업,L. 부동산업,L. 부동산업,M. 전문 과학 및 기술 서비스업,M. 전문 과학 및 기술 서비스업,N. 사업시설 관리 사업 지원 및 임대 서비스업,N. 사업시설 관리 사업 지원 및 임대 서비스업,O. 공공행정 국방 및 사회보장 행정,O. 공공행정 국방 및 사회보장 행정,P. 교육 서비스업,P. 교육 서비스업,Q. 보건업 및 사회복지 서비스업,Q. 보건업 및 사회복지 서비스업,R. 예술 스포츠 및 여가관련 서비스업,R. 예술 스포츠 및 여가관련 서비스업,S. 협회 및 단체 수리 및 기타 개인 서비스업,S. 협회 및 단체 수리 및 기타 개인 서비스업
중랑구,중화1동,"1,089",361,"3,590","1,639","1,951",-,-,-,-,121,582,1,29,1,5,49,217,198,564,252,264,90,224,9,40,5,31,54,136,21,59,15,69,2,23,71,531,49,560,18,44,133,212
중랑구,중화2동,"2,111",773,"6,771","3,810","2,961",-,-,-,-,243,916,-,-,4,15,86,522,476,"1,202",327,501,385,899,13,44,14,119,71,536,39,202,34,473,5,124,22,92,63,398,96,269,233,459
중랑구,묵1동,"1,555",569,"5,736","2,689","3,047",-,-,-,-,77,420,2,83,-,-,48,402,296,999,359,379,255,759,13,116,12,117,91,237,21,108,16,118,2,65,67,685,69,627,50,158,177,463
중랑구,묵2동,"1,811",536,"4,688","2,457","2,231",-,-,-,-,152,611,-,-,-,-,55,296,298,804,607,621,228,542,9,38,6,53,68,137,21,101,20,244,2,51,51,274,56,461,58,125,180,330
중랑구,망우3동,"1,132",407,"3,746","1,846","1,900",-,-,-,-,245,"1,129",1,4,-,-,47,209,186,523,245,434,123,270,4,9,2,16,35,45,9,26,19,113,1,21,36,333,41,409,22,57,116,148
중랑구,신내1동,"2,017",622,"11,518","6,629","4,889",-,-,-,-,96,365,-,-,3,88,74,"1,350",297,"1,141",685,"2,409",258,825,6,52,12,61,88,249,22,86,23,198,2,402,117,618,92,"3,076",61,184,181,414
중랑구,신내2동,"1,120",433,"6,468","2,985","3,483",-,-,-,-,15,22,1,1,1,5,33,266,204,606,305,381,127,488,8,30,5,42,45,151,34,111,15,196,7,"2,156",104,766,78,935,23,92,115,220
중랑구,면목본동,"2,572",963,"7,681","3,475","4,206",-,-,-,-,448,"1,837",-,-,3,4,101,563,518,"1,324",375,444,417,973,14,36,12,79,111,171,38,142,26,112,3,81,65,394,100,969,75,142,266,410
중랑구,면목3.8동,"2,123",766,"7,671","3,852","3,819",-,-,-,-,320,"1,347",-,-,1,13,54,220,367,870,361,806,408,"1,099",5,11,12,92,89,195,16,57,28,199,3,73,67,"1,168",68,934,106,231,218,356
중랑구,망우본동,"3,827","1,003","12,002","6,270","5,732",-,-,-,-,352,"1,592",-,-,2,53,84,365,594,"1,777","1,522","2,328",472,"1,241",15,56,23,220,115,255,32,112,34,289,4,123,74,"1,119",129,"1,583",101,302,274,587
성북구,소계,"23,617","8,922","111,005","54,975","56,030",-,-,-,-,"2,144","7,873",4,8,13,171,575,"4,133","4,697","14,662","3,557","6,130","4,461","13,323",241,"1,900",144,"1,576","1,203","3,827",480,"5,384",264,"5,624",51,"3,308","1,368","21,947","1,045","13,249",745,"2,323","2,625","5,567"
성북구,돈암1동,386,134,"2,116","1,019","1,097",-,-,-,-,10,44,-,-,-,-,12,229,61,183,107,128,39,182,-,-,2,6,32,116,2,7,3,161,1,22,37,664,21,221,7,35,52,118
성북구,돈암2동,421,190,"2,477",831,"1,646",-,-,-,-,4,12,-,-,-,-,8,27,54,125,103,103,42,110,2,30,5,29,39,176,2,7,2,920,2,68,62,446,27,205,16,62,53,157
성북구,안암동,"1,431",455,"13,406","6,710","6,696",-,-,-,-,78,323,-,-,-,-,33,159,293,"1,093",93,129,436,"1,613",37,263,10,76,54,100,58,"1,040",27,140,1,21,61,"4,764",45,"3,132",61,168,144,385
성북구,보문동,"1,294",424,"5,461","2,796","2,665",-,-,-,-,226,651,1,1,1,18,34,410,258,920,272,320,169,452,10,29,10,151,54,102,33,139,17,841,4,82,35,332,37,734,20,39,113,240
성북구,정릉1동,757,293,"1,976",956,"1,020",-,-,-,-,54,166,-,-,1,2,26,161,124,322,150,173,108,288,5,7,3,24,44,124,9,16,9,13,2,19,68,159,30,305,25,53,99,144
성북구,정릉2동,904,306,"2,961","1,584","1,377",-,-,-,-,33,90,-,-,-,-,17,127,150,509,243,397,136,381,5,17,5,52,56,138,6,11,3,21,2,48,55,336,55,471,33,195,105,168
성북구,정릉3동,717,260,"4,764","2,839","1,925",-,-,-,-,28,107,-,-,-,-,14,39,111,303,163,411,161,457,9,25,2,14,31,123,13,230,3,7,2,22,32,"2,511",23,202,23,62,102,251
성북구,정릉4동,929,331,"4,131","2,385","1,746",-,-,-,-,39,117,1,5,1,2,16,88,159,389,226,984,154,366,7,21,4,32,47,108,10,42,5,41,3,65,55,"1,130",49,425,29,92,124,224
성북구,길음1동,"1,008",460,"3,921","1,465","2,456",-,-,-,-,30,91,-,-,-,-,16,50,195,516,164,200,181,543,2,5,9,83,72,197,9,21,8,202,3,105,104,957,75,633,30,87,110,231
성북구,길음2동,995,429,"4,816","2,013","2,803",-,-,-,-,13,55,-,-,-,-,20,68,295,"1,281",83,115,207,690,10,212,5,12,66,204,17,107,17,385,2,25,62,180,54,986,27,148,117,348
성북구,월곡1동,"1,361",480,"5,403","2,659","2,744",-,-,-,-,159,693,-,-,1,25,30,237,290,820,280,296,158,456,13,157,8,150,57,144,12,494,11,174,2,78,85,592,73,664,35,87,147,336
성북구,월곡2동,"1,558",587,"8,951","4,413","4,538",-,-,-,-,230,925,-,-,1,4,31,143,335,"1,150",150,213,315,968,9,43,9,75,54,126,45,"2,095",20,368,2,23,57,"1,412",66,858,58,186,176,362
성북구,장위1동,911,327,"2,263","1,056","1,207",-,-,-,-,159,607,-,-,-,-,18,67,164,333,198,202,125,256,-,-,4,34,40,50,4,11,3,3,1,23,32,221,26,233,22,39,115,184
성북구,장위2동,"1,106",403,"3,218","1,502","1,716",-,-,-,-,245,959,-,-,2,3,27,108,230,478,172,197,160,330,8,20,8,66,53,67,12,28,8,46,2,83,22,206,36,400,14,22,107,205
성북구,장위3동,597,177,"2,331","1,247","1,084",-,-,-,-,79,394,-,-,1,25,22,92,90,260,149,483,67,201,-,-,1,7,55,112,5,11,4,13,2,49,30,342,24,219,9,23,59,100
성북구,성북동,"1,174",501,"5,315","2,595","2,720",-,-,-,-,39,154,2,2,-,-,29,237,248,811,78,93,228,855,53,520,8,122,62,116,58,353,27,95,4,66,98,867,58,432,35,133,147,459
성북구,삼선동,"1,834",743,"8,921","4,394","4,527",-,-,-,-,84,271,-,-,2,13,42,137,408,"1,348",148,163,446,"1,126",27,109,19,142,80,163,100,351,29,335,6,"1,782",113,"1,792",86,696,75,169,169,324
성북구,동선동,"2,037",838,"9,961","4,329","5,632",-,-,-,-,45,173,-,-,-,-,43,525,417,"1,281",73,216,637,"2,156",25,351,14,96,111,225,43,170,28,741,1,23,148,"2,402",88,710,99,302,265,590
성북구,종암동,"2,034",811,"8,629","4,553","4,076",-,-,-,-,323,979,-,-,-,-,48,433,381,996,289,338,329,954,10,62,11,340,92,"1,208",19,68,19,106,6,634,136,940,95,973,67,216,209,382
성북구,석관동,"2,163",773,"9,984","5,629","4,355",-,-,-,-,266,"1,062",-,-,3,79,89,796,434,"1,544",416,969,363,939,9,29,7,65,104,228,23,183,21,"1,012",3,70,76,"1,694",77,750,60,205,212,359
강북구,소계,"19,014","7,153","73,904","34,134","39,770",-,-,-,-,"1,456","5,864",3,84,8,338,522,"2,198","3,823","10,726","3,108","6,305","3,779","11,090",117,759,282,"3,989",811,"1,876",314,"1,241",222,"3,737",44,"3,108",683,"5,911",816,"10,099",751,"2,125","2,275","4,454"
강북구,번1동,"1,895",741,"9,633","4,014","5,619",-,-,-,-,93,306,-,-,2,75,50,286,411,"1,249",176,346,370,"1,280",18,99,125,"1,880",95,249,74,333,55,805,4,418,52,348,82,"1,245",78,334,210,380
강북구,번2동,640,166,"3,657","2,146","1,511",-,-,-,-,45,299,-,-,1,165,26,130,97,341,221,711,66,142,4,50,1,7,18,53,5,41,9,172,5,482,8,131,32,664,22,138,80,131
강북구,번3동,869,227,"3,147","1,707","1,440",-,-,-,-,50,355,-,-,-,-,13,47,99,370,395,699,87,281,1,5,2,14,29,114,4,22,4,77,2,50,49,251,38,599,23,123,73,140
강북구,수유1동,"1,473",601,"5,349","2,444","2,905",-,-,-,-,131,454,-,-,-,-,32,96,441,"1,037",199,614,264,583,3,4,13,81,54,113,12,47,12,253,3,65,45,675,58,812,47,177,159,338
강북구,수유2동,"1,280",482,"3,797","1,744","2,053",-,-,-,-,119,462,-,-,-,-,56,239,259,647,219,229,185,485,10,46,5,25,56,121,10,21,12,342,2,45,53,141,58,613,43,80,193,301
강북구,수유3동,"2,542","1,053","9,146","4,206","4,940",-,-,-,-,144,521,1,1,-,-,57,229,538,"1,473",174,227,733,"2,305",13,98,50,762,114,252,59,196,32,158,3,"1,086",28,170,97,696,203,413,296,559
강북구,삼양동,"1,059",371,"3,509","1,433","2,076",-,-,-,-,106,414,-,-,-,-,25,97,179,512,251,393,132,275,1,5,5,27,38,87,7,15,2,244,2,57,58,476,64,565,37,97,152,245
강북구,미아동,"1,740",685,"6,824","3,076","3,748",-,-,-,-,160,609,1,82,1,1,45,265,364,"1,002",177,204,368,"1,015",12,49,32,331,91,222,29,101,28,119,5,244,54,"1,121",76,842,68,121,229,496
강북구,송중동,"2,117",822,"8,611","3,470","5,141",-,-,-,-,151,651,-,-,-,-,51,189,465,"1,510",254,297,501,"1,865",22,247,30,689,78,159,38,149,32,549,3,203,79,505,77,877,81,234,255,487
강북구,송천동,"2,041",747,"7,973","3,616","4,357",-,-,-,-,293,"1,212",1,1,1,31,81,243,390,"1,278",230,400,396,"1,024",9,56,8,98,93,202,43,189,19,715,6,259,78,778,82,752,52,135,259,600
강북구,삼각산동,782,337,"2,247",862,"1,385",-,-,-,-,13,48,-,-,-,-,16,28,116,263,179,179,129,312,5,11,3,18,55,138,8,13,4,6,2,54,80,506,65,472,25,61,82,138
강북구,우이동,"1,016",387,"4,252","2,603","1,649",-,-,-,-,40,142,-,-,1,62,18,124,171,436,236,"1,338",314,955,6,13,-,-,36,74,9,34,4,133,2,24,30,227,33,346,31,106,85,238
강북구,인수동,"1,560",534,"5,759","2,813","2,946",-,-,-,-,111,391,-,-,2,4,52,225,293,608,397,668,234,568,13,76,8,57,54,92,16,80,9,164,5,121,69,582,54,"1,616",41,106,202,401
도봉구,소계,"18,628","6,269","72,939","37,598","35,341",1,1,1,1,945,"3,794",4,22,8,94,486,"3,565","3,367","10,797","5,002","9,064","2,814","8,203",81,752,119,"1,107",808,"2,760",337,"1,756",181,"2,030",38,"3,892",926,"7,318",824,"11,538",618,"1,778","2,068","4,467"
도봉구,쌍문1동,913,288,"3,831","1,935","1,896",-,-,-,-,37,137,-,-,-,-,27,117,136,444,298,531,132,370,8,107,3,21,36,82,7,67,7,11,2,52,47,"1,111",40,473,23,101,110,207
도봉구,쌍문2동,"1,280",488,"5,572","2,730","2,842",-,-,-,-,70,330,1,3,-,-,41,312,241,847,252,551,203,662,5,19,6,117,51,424,19,52,15,105,2,56,76,444,76,"1,097",55,154,167,399
도봉구,쌍문3동,966,358,"4,182","1,936","2,246",-,-,-,-,56,228,-,-,1,24,33,259,242,725,138,154,167,525,5,334,7,52,53,105,9,47,13,39,2,55,45,174,41,"1,122",21,53,133,286
도봉구,쌍문4동,611,240,"2,093",938,"1,155",-,-,-,-,8,24,-,-,-,-,15,62,78,214,187,188,55,175,2,4,1,3,30,119,3,6,1,15,1,19,102,888,30,174,17,56,81,146
도봉구,방학1동,"2,350",933,"13,653","7,309","6,344",-,-,-,-,120,510,-,-,1,3,72,514,487,"1,669",349,"1,089",489,"1,468",9,35,18,163,115,327,43,503,26,934,8,"1,903",93,697,110,"2,783",142,286,268,769
도봉구,방학2동,"1,219",416,"2,909","1,431","1,478",-,-,-,-,130,434,-,-,-,-,38,124,289,658,292,299,161,342,3,8,2,13,26,48,4,9,7,65,1,24,38,226,42,389,27,40,159,230
도봉구,방학3동,898,255,"3,169","1,449","1,720",-,-,-,-,17,54,-,-,-,-,20,100,104,328,381,603,94,326,-,-,4,35,43,156,7,21,3,8,2,58,65,469,59,798,23,68,76,145
도봉구,창1동,"1,538",424,"3,958","2,076","1,882",-,-,-,-,27,109,-,-,1,4,33,170,189,569,711,756,182,577,13,122,4,105,64,176,10,36,8,20,2,49,54,492,60,406,38,135,142,232
도봉구,창2동,"1,410",503,"4,428","2,396","2,032",-,-,-,-,172,880,-,-,1,3,32,138,277,847,338,554,177,425,2,6,2,16,59,145,8,39,11,68,2,57,59,262,50,550,42,133,178,305
도봉구,창3동,915,329,"2,170","1,012","1,158",-,-,-,-,74,258,1,17,-,-,30,83,194,459,218,219,147,309,1,1,2,13,32,75,7,11,4,15,1,20,26,169,41,328,27,40,110,153
도봉구,창4동,"1,319",439,"7,530","3,988","3,542",-,-,-,-,18,60,-,-,1,9,36,"1,103",266,"1,360",238,649,197,677,18,57,41,401,74,238,67,368,27,268,4,543,100,777,65,405,49,322,118,293
도봉구,창5동,"2,157",540,"7,359","3,642","3,717",-,-,1,1,51,219,2,2,-,-,28,199,265,984,917,"1,187",271,"1,020",5,22,10,66,86,234,27,117,19,85,3,188,134,828,89,"1,398",63,174,186,635
도봉구,도봉1동,"1,626",579,"5,766","3,373","2,393",1,1,-,-,120,442,-,-,2,48,49,256,359,962,299,"1,372",336,829,6,19,8,38,62,115,18,72,11,37,4,101,34,414,56,595,60,123,201,342
도봉구,도봉2동,"1,426",477,"6,319","3,383","2,936",-,-,-,-,45,109,-,-,1,3,32,128,240,731,384,912,203,498,4,18,11,64,77,516,108,408,29,360,4,767,53,367,65,"1,020",31,93,139,325
노원구,소계,"26,618","9,576","116,684","54,993","61,691",1,1,-,-,797,"3,533",8,288,19,234,552,"2,508","4,965","15,458","6,564","11,955","4,278","14,520",167,"1,082",230,"3,788","1,228","4,465",454,"2,771",291,"4,375",39,"3,533","1,936","20,143","1,445","19,452",987,"3,200","2,657","5,378"
노원구,월계1동,"1,466",521,"6,721","3,998","2,723",-,-,-,-,77,352,3,3,2,3,34,173,247,608,253,924,349,968,10,31,4,34,70,445,23,194,17,38,1,20,65,"1,473",69,889,87,223,155,343
노원구,월계2동,930,237,"3,255","1,684","1,571",-,-,-,-,26,160,-,-,-,-,17,55,104,281,464,564,82,204,8,14,1,3,34,136,5,56,6,40,2,55,56,"1,147",39,361,10,59,76,120
노원구,월계3동,996,323,"4,143","2,192","1,951",-,-,-,-,8,27,-,-,1,11,8,48,163,933,419,"1,074",94,331,8,32,3,33,50,225,15,105,8,47,2,86,54,421,67,573,17,49,79,148
노원구,공릉2동,"1,955",650,"11,629","5,849","5,780",1,1,-,-,68,493,-,-,-,-,26,116,259,722,511,867,379,"1,264",29,124,9,63,99,352,42,555,18,222,2,29,156,"4,112",78,"1,877",93,477,185,355
노원구,하계1동,"1,088",412,"7,931","3,841","4,090",-,-,-,-,51,397,-,-,-,-,29,173,283,"1,061",161,616,188,753,4,12,6,40,49,232,19,172,17,291,3,602,80,"1,206",49,"1,808",30,232,119,336
노원구,하계2동,414,130,"1,220",476,744,-,-,-,-,6,13,-,-,-,-,11,24,38,112,184,195,35,91,1,1,2,13,25,84,3,6,1,1,1,22,36,381,25,187,5,14,41,76
노원구,중계본동,"1,205",471,"5,602","2,620","2,982",-,-,-,-,40,188,-,-,-,-,19,29,161,494,201,302,189,591,3,261,5,32,58,236,16,39,10,660,1,29,259,"1,810",51,437,69,275,123,219
노원구,중계1동,"1,050",441,"4,205","1,881","2,324",-,-,-,-,6,13,-,-,-,-,14,51,175,580,170,171,142,562,1,4,5,55,69,236,9,17,8,19,2,70,255,"1,732",48,260,43,205,103,230
노원구,중계4동,"1,059",430,"3,923","1,649","2,274",-,-,-,-,13,35,-,-,-,-,18,87,191,578,218,269,237,725,1,1,5,49,49,172,9,15,11,37,1,24,72,774,61,786,70,167,103,204
노원구,상계1동,"3,183",727,"9,518","5,157","4,361",-,-,-,-,61,210,-,-,6,30,56,380,363,"1,418","1,616","2,116",357,"1,230",11,65,8,45,107,287,45,277,27,627,3,89,113,710,102,"1,394",84,164,224,476
노원구,상계2동,"2,668","1,195","10,536","4,320","6,216",-,-,-,-,76,253,-,-,3,20,47,229,867,"2,528",174,436,663,"2,666",9,63,12,169,112,319,27,137,35,275,2,64,106,677,109,"1,573",144,392,282,735
노원구,상계5동,"1,567",625,"4,936","2,316","2,620",-,-,-,-,105,425,-,-,2,2,60,190,329,765,210,312,241,528,10,27,11,48,67,166,32,108,35,575,1,24,91,272,80,"1,011",62,122,231,361
노원구,상계8동,484,227,"1,697",582,"1,115",-,-,-,-,5,10,-,-,-,-,10,25,76,178,94,95,62,156,1,2,4,40,25,108,2,4,1,1,1,16,65,533,72,402,20,50,46,77
노원구,상계9동,698,261,"2,520","1,060","1,460",-,-,-,-,6,11,-,-,-,-,10,16,106,355,254,263,62,217,-,-,5,52,32,153,3,5,2,5,2,63,83,859,60,390,13,39,60,92
노원구,상계10동,515,154,"2,188","1,260",928,-,-,-,-,2,4,-,-,1,27,8,20,66,164,207,770,32,97,4,21,6,63,19,118,12,29,10,23,2,86,47,409,29,206,18,56,52,95
노원구,상계3.4동,"1,196",429,"3,787","2,216","1,571",-,-,-,-,55,224,-,-,-,-,28,100,198,485,329,"1,252",180,354,6,20,2,7,56,101,12,26,8,53,3,101,55,255,59,468,41,76,164,265
노원구,상계6.7동,"1,921",738,"15,772","5,810","9,962",-,-,-,-,23,45,5,285,1,67,34,146,283,"1,132",280,327,317,"1,555",12,60,113,"2,761",133,562,48,197,19,205,5,"1,939",170,"1,700",227,"4,174",67,211,184,406
노원구,중계2.3동,"1,382",597,"5,153","2,081","3,072",-,-,-,-,26,100,-,-,-,-,13,25,466,"1,291",329,345,168,715,5,93,6,35,44,224,14,33,9,69,2,97,67,889,87,832,23,170,123,235
노원구,공릉1동,"2,841","1,008","11,948","6,001","5,947",-,-,-,-,143,573,-,-,3,74,110,621,590,"1,773",490,"1,057",501,"1,513",44,251,23,246,130,309,118,796,49,"1,187",3,117,106,783,133,"1,824",91,219,307,605
은평구,소계,"24,681","9,535","93,631","43,830","49,801",-,-,-,-,868,"2,964",4,162,14,240,611,"4,405","4,815","15,220","5,172","8,809","4,331","12,965",147,"1,223",153,"2,027","1,492","3,342",379,"1,894",224,"1,597",52,"3,812","1,435","10,374","1,198","16,423",842,"2,515","2,944","5,659"
은평구,녹번동,"1,962",694,"9,531","4,653","4,878",-,-,-,-,83,292,2,95,2,38,64,499,294,"1,687",431,464,271,833,41,154,8,56,121,293,88,354,32,270,7,"1,517",112,716,86,"1,494",65,202,255,567
은평구,불광1동,"1,627",694,"7,034","2,592","4,442",-,-,-,-,42,125,-,-,-,-,31,101,285,926,274,306,310,925,1,3,35,916,125,336,21,404,16,173,3,547,98,544,111,"1,050",62,197,213,481
은평구,갈현1동,"1,498",576,"4,881","2,198","2,683",-,-,-,-,55,142,-,-,-,-,31,116,261,755,187,215,392,"1,195",7,19,16,236,85,194,20,194,11,26,3,36,71,270,78,941,97,175,184,367
은평구,갈현2동,"1,579",640,"5,985","2,472","3,513",-,-,-,-,60,153,-,-,-,-,34,169,331,"1,060",229,237,350,"1,056",3,14,5,50,69,114,14,86,10,19,2,88,149,"1,355",57,"1,045",76,176,190,363
은평구,구산동,"1,216",410,"5,509","2,544","2,965",-,-,-,-,47,244,-,-,-,-,21,92,171,441,404,930,134,368,3,5,2,10,61,130,14,33,5,166,2,33,91,947,74,"1,695",21,123,166,292
은평구,대조동,"2,430","1,156","7,864","3,357","4,507",-,-,-,-,69,193,-,-,-,-,43,270,761,"2,077",219,249,540,"1,625",17,153,13,173,156,284,25,67,26,99,4,340,92,554,139,"1,157",74,198,252,425
은평구,응암1동,"1,661",673,"7,831","3,748","4,083",-,-,-,-,68,296,1,58,1,13,64,"1,023",362,"1,452",220,234,266,899,13,245,13,99,136,292,58,228,22,220,3,215,91,641,100,"1,401",57,150,186,365
은평구,응암2동,707,300,"2,102",886,"1,216",-,-,-,-,31,69,-,-,-,-,11,27,99,237,162,174,104,246,4,17,4,52,68,114,7,12,6,20,2,57,55,255,38,612,22,42,94,168
은평구,신사1동,"1,347",491,"4,066","2,093","1,973",-,-,-,-,57,221,-,-,1,1,42,400,248,608,328,419,177,506,9,93,6,40,80,172,19,50,15,91,2,25,67,388,67,679,56,113,173,260
은평구,신사2동,"1,704",285,"3,716","2,345","1,371",-,-,-,-,28,82,-,-,1,36,27,131,134,435,"1,127","1,374",91,206,7,22,1,5,45,99,6,16,9,52,2,78,68,580,39,401,11,39,108,160
은평구,증산동,945,361,"3,619","2,169","1,450",-,-,-,-,44,173,-,-,1,13,42,358,191,560,209,857,148,363,8,159,3,37,64,124,9,31,14,97,2,29,40,291,42,270,31,90,97,167
은평구,수색동,514,171,"2,264","1,483",781,-,-,-,-,31,65,1,9,2,44,8,34,124,432,101,788,92,234,1,5,4,36,56,127,2,18,6,38,3,52,13,95,19,165,9,15,42,107
은평구,진관동,"1,894",811,"12,366","5,292","7,074",-,-,-,-,29,138,-,-,2,62,20,79,390,"1,494",277,"1,438",382,"1,816",7,252,12,97,161,593,26,196,14,45,7,306,192,"1,869",116,"2,893",60,586,199,502
은평구,불광2동,"1,295",549,"3,943","1,860","2,083",-,-,-,-,44,126,-,-,1,1,31,111,307,762,249,256,220,527,6,25,12,64,66,135,15,48,6,15,4,366,67,668,50,443,26,49,191,347
은평구,응암3동,"1,768",754,"5,142","2,408","2,734",-,-,-,-,73,241,-,-,-,-,38,372,406,906,237,257,432,"1,078",1,3,7,66,69,125,15,34,13,45,2,29,74,614,82,780,88,171,231,421
은평구,역촌동,"2,534",970,"7,778","3,730","4,048",-,-,-,-,107,404,-,-,3,32,104,623,451,"1,388",518,611,422,"1,088",19,54,12,90,130,210,40,123,19,221,4,94,155,587,100,"1,397",87,189,363,667
서대문구,소계,"20,095","7,500","113,819","55,966","57,853",1,1,-,-,666,"2,537",4,54,12,561,510,"4,044","4,127","13,468","2,981","5,480","4,321","14,232",476,"3,355",184,"5,512","1,071","2,746",655,"6,567",424,"6,528",43,"5,155","1,116","20,503",778,"16,484",585,"1,824","2,141","4,768"
서대문구,천연동,915,395,"3,069","1,488","1,581",-,-,-,-,50,130,-,-,-,-,20,108,212,476,76,99,193,467,20,240,6,32,49,113,16,39,15,65,3,110,67,556,55,386,24,100,109,148
서대문구,홍제1동,"1,154",458,"4,827","2,514","2,313",-,-,-,-,35,161,-,-,-,-,42,839,233,704,167,253,195,550,19,34,5,114,74,223,31,73,22,43,2,47,87,940,68,539,32,71,142,236
서대문구,홍제3동,"1,157",478,"3,687","1,543","2,144",-,-,-,-,45,147,-,-,-,-,30,72,315,658,144,157,225,557,10,72,7,70,44,103,20,43,7,180,1,19,71,457,70,857,36,62,132,233
서대문구,홍제2동,594,263,"1,699",826,873,-,-,-,-,20,90,-,-,1,138,13,30,103,259,73,73,88,245,9,29,3,13,52,122,25,90,2,5,1,17,57,146,29,195,27,82,91,165
서대문구,홍은1동,999,382,"2,658","1,217","1,441",-,-,-,-,35,92,1,49,1,2,31,67,231,511,185,258,142,346,21,78,4,20,51,97,22,56,10,31,3,78,65,271,35,420,22,78,140,204
서대문구,홍은2동,"1,219",402,"5,414","2,843","2,571",-,-,-,-,36,158,-,-,1,19,39,136,214,538,264,625,237,908,25,115,4,27,51,97,26,55,16,51,2,53,90,"1,588",48,642,46,126,120,276
서대문구,남가좌1동,691,307,"2,204",792,"1,412",-,-,-,-,21,76,-,-,-,-,6,24,188,493,82,91,157,414,8,13,6,56,36,97,15,35,14,36,1,18,35,225,50,487,19,48,53,91
서대문구,남가좌2동,"1,310",530,"5,271","2,559","2,712",-,-,-,-,45,150,-,-,3,86,38,134,270,650,201,210,277,761,21,63,8,59,75,134,15,31,15,102,2,57,90,"1,978",62,464,48,131,140,261
서대문구,북가좌1동,681,225,"3,173","1,966","1,207",-,-,-,-,15,65,-,-,-,-,24,125,121,369,194,"1,040",66,172,17,58,7,35,47,203,9,21,6,14,1,19,58,519,40,322,11,59,65,152
서대문구,북가좌2동,"2,443",646,"6,752","3,795","2,957",-,-,-,-,86,308,-,-,3,17,83,514,307,688,"1,051","1,465",258,621,27,137,10,77,103,251,31,62,23,"1,060",4,97,116,332,72,660,53,104,216,359
서대문구,충현동,"1,817",600,"24,246","13,980","10,266",-,-,-,-,53,280,-,-,2,276,47,"1,180",340,"2,843",133,452,428,"1,315",90,"1,304",70,"4,578",90,393,106,"2,573",105,"3,196",8,"2,900",63,"1,660",49,427,37,88,196,781
서대문구,북아현동,862,348,"2,420","1,119","1,301",-,-,-,-,89,293,-,-,-,-,17,47,219,464,82,85,116,280,13,16,5,44,94,174,18,60,27,47,3,81,31,308,43,293,17,61,88,167
서대문구,신촌동,"3,901","1,563","37,647","15,776","21,871",-,-,-,-,54,224,1,2,-,-,31,138,812,"2,867",74,204,"1,465","6,061",135,896,38,276,175,489,167,"2,956",115,"1,414",6,308,189,"10,292",86,"9,739",158,554,395,"1,227"
서대문구,연희동,"2,352",903,"10,752","5,548","5,204",1,1,-,-,82,363,2,3,1,23,89,630,562,"1,948",255,468,474,"1,535",61,300,11,111,130,250,154,473,47,284,6,"1,351",97,"1,231",71,"1,053",55,260,254,468
마포구,소계,"37,290","12,919","247,276","132,558","114,718",-,-,-,-,"1,226","5,218",11,485,30,361,977,"13,648","7,709","34,878","2,914","10,892","8,616","29,425","2,302","36,841",495,"10,060","2,073","5,976","2,572","20,235","1,049","33,887",57,"4,909","1,842","15,202","1,227","10,843","1,074","4,607","3,116","9,809"
마포구,용강동,"2,566",803,"18,813","10,218","8,595",-,-,-,-,65,204,2,89,2,15,70,964,627,"3,880",200,"1,161",380,"1,500",189,"1,054",45,651,161,650,220,"1,248",138,"4,935",5,306,130,786,62,421,68,178,202,771
마포구,대흥동,"1,571",570,"10,097","4,963","5,134",-,-,-,-,56,173,-,-,-,-,21,81,265,"1,046",70,141,383,"1,125",46,374,37,626,144,330,70,483,42,975,2,27,133,"2,992",94,652,47,457,161,615
마포구,염리동,726,282,"4,383","2,288","2,095",-,-,-,-,24,93,-,-,1,2,14,54,129,557,52,508,183,605,26,524,10,131,52,135,26,120,22,633,2,33,60,605,24,174,17,41,84,168
마포구,신수동,"1,209",393,"5,549","2,873","2,676",-,-,-,-,53,236,-,-,2,3,46,399,276,942,133,505,175,484,83,279,7,87,92,182,89,361,32,296,3,378,63,541,36,571,22,73,97,212
마포구,서교동,"9,552","3,210","57,173","27,784","29,389",-,-,-,-,188,"1,076",3,12,3,74,171,"2,347","2,095","10,201",275,"1,727","2,658","10,133",716,"6,464",135,"2,716",474,"1,226",816,"5,220",282,"7,834",7,179,400,"2,521",226,"1,759",380,"1,417",723,"2,267"
