animals,month,unit,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A4100,M12,THS_HD,AL	: 	: 	: 	1896.00 	1918.00 e	1971.93 p	1925.51 	1863.84 	1758.33 	1557.86 	1480.45 	1371.70 
A4100,M12,THS_HD,AT	361.18 	364.65 	357.44 	349.09 	353.71 	378.38 	401.48 	406.34 	402.66 	393.76 	402.35 	400.66 
A4100,M12,THS_HD,BA	1021.00 	1004.00 e	1020.00 e	1025.00 e	1020.00 e	1016.00 e	1017.00 e	1012.00 e	1013.00 e	1014.00 e	1034.81 	997.05 
A4100,M12,THS_HD,BE	: 	119.26 	0.00 	: 	117.32 e	: 	: 	: 	117.32 e	: 	: 	110.12 e
A4100,M12,THS_HD,BG	1454.62 	1361.55 	1369.58 	1335.28 	1331.89 	1360.09 	1316.78 	1350.03 	1280.98 	1307.77 	1199.55 	1096.40 
A4100,M12,THS_HD,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1758.33 e
A4100,M12,THS_HD,CY	355.25 	346.84 	314.40 	292.98 	296.86 	304.19 	321.49 	310.99 	323.24 	326.33 	350.55 	343.40 e
A4100,M12,THS_HD,CZ	: 	: 	: 	: 	218.49 e	: 	: 	: 	213.07 e	: 	: 	174.20 d
A4100,M12,THS_HD,DE	1657.81 	1641.01 	1569.96 	1600.78 	1579.79 	1574.27 	1579.79 	1569.90 	1556.50 	1483.70 	1508.10 	1516.90 
A4100,M12,THS_HD,DK	: 	: 	: 	: 	144.95 e	: 	: 	: 	138.01 e	: 	: 	132.51 e
A4100,M12,THS_HD,EE	: 	: 	: 	: 	85.90 e	: 	: 	: 	73.10 e	: 	: 	63.10 e
A4100,M12,THS_HD,EL	9781.00 	9213.00 	9356.00 	9072.00 	8852.00 	8739.00 	8593.00 	8430.00 	8427.00 	7721.80 	7690.90 	7378.40 
A4100,M12,THS_HD,ES	17002.72 	16339.37 	16118.59 	15431.83 	16026.37 	15962.89 	15963.11 	15852.53 p	15478.62 	15439.22 p	15081.35 p	14452.59 
A4100,M12,THS_HD,EU27_2020	65206.00 e	63237.00 e	63088.00 e	62396.00 e	62951.08 e	63416.00 e	63587.00 e	63009.00 e	62470.44 	61462.17 e	60450.61 e	59010.25 
A4100,M12,THS_HD,FI	: 	: 	: 	: 	155.20 e	: 	: 	: 	144.88 e	: 	: 	132.08 d
A4100,M12,THS_HD,FR	7621.00 	7453.00 	7193.00 	7168.00 	7057.00 	7157.00 d	6877.00 d	7166.00 	7105.00 	6998.71 b	6994.63 p	6597.52 
A4100,M12,THS_HD,HR	639.00 	679.00 	620.00 	605.00 	608.00 	619.00 	637.00 	636.00 	658.00 	662.00 	654.00 	643.00 b
A4100,M12,THS_HD,HU	1120.00 	1185.00 	1214.00 	1185.00 	1190.00 	1141.00 	1146.00 	1109.00 	1061.00 	944.00 	887.00 	871.70 
A4100,M12,THS_HD,IE	3321.30 	3430.33 	3324.09 	3324.90 	3324.84 	3438.23 	3981.81 	3798.48 	3809.37 	3877.22 	3991.18 p	4018.03 
A4100,M12,THS_HD,IS	475.10 	473.50 	473.50 	: 	: 	473.00 	458.00 	432.00 	416.00 	401.00 	385.00 	367.19 
A4100,M12,THS_HD,IT	7942.64 	7015.73 	7181.83 	7166.02 	7148.53 	7284.87 	7215.40 	7179.15 	7000.88 	7034.16 	6728.35 	6568.00 b
A4100,M12,THS_HD,LT	60.40 	82.80 	99.60 	123.90 	147.10 	163.60 	169.70 	164.30 	152.10 	140.60 	136.90 	135.64 
A4100,M12,THS_HD,LU	: 	: 	: 	: 	8.95 e	: 	: 	: 	8.68 e	: 	: 	9.00 d
A4100,M12,THS_HD,LV	79.66 	83.63 	84.85 	92.54 	102.28 	106.63 	112.21 	107.29 	99.82 	91.89 	90.34 	87.32 
A4100,M12,THS_HD,ME	: 	207.00 	191.00 	204.00 	195.00 	192.00 p	189.00 p	187.00 p	182.10 p	176.58 p	165.92 p	1758.33 e
A4100,M12,THS_HD,MK	: 	732.00 	732.00 	740.00 	734.00 	723.00 	725.00 	727.00 	684.00 	631.00 	633.00 	646.00 
A4100,M12,THS_HD,MT	11.89 	11.70 	10.93 	10.53 	11.08 	11.52 	11.74 	13.17 	13.16 	13.15 	12.73 	14.47 
A4100,M12,THS_HD,NL	1113.00 	1093.00 	1074.00 	1070.00 	1032.00 	1040.00 	1015.00 	743.00 	758.00 	710.00 	729.00 	723.00 
A4100,M12,THS_HD,PL	212.74 	218.51 	: 	: 	221.19 e	: 	: 	: 	268.54 e	: 	: 	266.37 e
A4100,M12,THS_HD,PT	2169.90 	2091.70 	2073.65 	2032.62 	2042.61 	2248.52 	2224.69 	2207.79 	2219.78 	2303.72 	2237.97 p	2269.28 
A4100,M12,THS_HD,RO	8533.40 	8833.80 	9135.60 	9518.20 	9809.50 	9875.50 	9981.80 	10176.40 	10358.70 	10281.50 	10087.40 	10247.40 
A4100,M12,THS_HD,RS	1460.00 	1635.00 e	1616.00 	1748.00 	1789.00 	1665.00 	1704.00 	1712.00 	1642.00 	1685.00 	1695.00 	1720.83 
A4100,M12,THS_HD,SE	622.71 	610.53 	576.77 	588.76 	594.73 	578.17 	606.08 	366.52 	371.23 	367.74 	348.77 p	340.84 e
A4100,M12,THS_HD,SI	: 	: 	: 	: 	109.41 e	: 	: 	: 	110.26 e	: 	: 	117.20 e
A4100,M12,THS_HD,SK	393.93 	409.57 	399.91 	391.15 	381.39 e	368.90 	365.34 	351.12 	320.56 	: 	: 	301.13 e
A4100,M12,THS_HD,TR	: 	27425.23 	29284.25 	31115.19 	31507.93 	30983.93 p	33677.64 	35194.97 	37276.05 	42126.78 	45177.69 	44687.89 
A4100,M12,THS_HD,UK	21951.00 	22991.00 	22027.00 	22687.00 	23103.00 	23671.00 	23239.00 	22283.00 	22756.00 	: 	: 	: 
A4100,M12,THS_HD,XK	: 	: 	: 	: 	193.70 	184.26 	182.28 	181.11 	189.10 	212.13 	211.35 	204.11 
