animals,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
A3130,HD,AT	: 	: 	39892 	35922 	35663 	35704 	29568 	37786 	32541 	: 	: 
A3130,HD,BE	: 	: 	12497 	1183 	1467 	3526 	309 	583 	24 	: 	: 
A3130,HD,BG	: 	: 	57 	0 	0 	0 	1 	1 	0 	0 	0 
A3130,HD,CH	: 	: 	14203 	15028 	14193 	12644 	11064 	10218 	12489 	10309 	10214 
A3130,HD,CY	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A3130,HD,CZ	: 	: 	331 	320 	384 	316 	244 	240 	229 	194 	41 
A3130,HD,DE	: 	: 	190349 	: 	: 	: 	: 	: 	: 	: 	: 
A3130,HD,DK	: 	: 	242369 	246235 	248376 	196104 	136806 	133199 	87339 	98531 	107879 
A3130,HD,EE	: 	: 	100 	55 	4 	5 	7 	40 	21 	309 	20 
A3130,HD,EL	: 	: 	1701 	1774 	1513 	1531 	1728 	1730 	1884 	1567 	2467 
A3130,HD,ES	: 	: 	41 	35 	115 	115 	115 	7 	63 	57 	29 
A3130,HD,FI	: 	: 	30 	13 	35 	14 	31 	31 	20 	224 	15 
A3130,HD,FR	: 	: 	168896 e	208353 e	133259 	110695 	100091 	88931 	82148 	76784 	69850 
A3130,HD,HR	: 	: 	192 	1599 	648 	562 	452 	390 	252 	296 	453 
A3130,HD,HU	: 	: 	1008 	1966 	1475 	1658 	1682 	171 	1211 	3546 	2407 
A3130,HD,IE	: 	: 	231 	173 	235 	438 	198 	185 	175 	67 	145 
A3130,HD,IS	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 
A3130,HD,IT	: 	: 	8821 	: 	25764 	30076 	10294 	7775 	9632 	10307 	4798 
A3130,HD,LT	: 	: 	3 	1 	1 	2 	2 	8 	14 	32 	11 
A3130,HD,LU	: 	: 	464 	336 	288 	210 	329 	358 	393 	370 	487 
A3130,HD,LV	: 	: 	618 	553 	494 	754 	737 	796 	1007 	1263 	1318 
A3130,HD,ME	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A3130,HD,MK	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A3130,HD,MT	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A3130,HD,NL	: 	: 	42246 	43254 	36723 	33860 	28211 	28689 	27324 	25475 	24220 
A3130,HD,NO	: 	: 	851 	823 	843 	1315 	548 	473 	837 	699 	765 
A3130,HD,PL	: 	: 	1646 	1078 	1207 	1806 	1480 	2585 	4122 	3124 	: 
A3130,HD,PT	: 	: 	1180 	2197 	908 	383 	269 	: 	: 	: 	: 
A3130,HD,RO	: 	: 	14 	9 	9 	0 	0 	29 	75 	56 	90 
A3130,HD,RS	: 	: 	0 	47 	35 	80 	215 	100 	: 	57 	: 
A3130,HD,SE	: 	: 	17212 	17653 	15926 	15583 b	6508 	6554 	4680 	5032 	: 
A3130,HD,SI	: 	: 	2679 	2905 	2806 	3442 	918 	728 	1425 	1309 	1219 
A3130,HD,SK	: 	: 	88 	123 	99 	53 	78 	32 	59 	44 	36 
A3130,HD,TR	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A3130,HD,UK	: 	: 	: 	9922 	12337 	8707 	5721 	5603 	7403 	5389 	6885 
A3132,HD,AT	: 	: 	35446 	31426 	32682 	31543 	28084 	34717 	30046 	25742 	30385 
A3132,HD,BE	: 	: 	18110 	14685 	14409 	13215 	10097 	9085 	8946 	9469 	9661 
A3132,HD,BG	: 	: 	80 	0 	0 	240 	71 	18 	0 	0 	0 
A3132,HD,CH	: 	: 	18126 	20470 	20724 	18901 	15538 	14816 	14125 	14015 	11737 
A3132,HD,CY	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A3132,HD,CZ	: 	: 	1615 	2129 	2127 	1465 	1468 	1303 	1556 	1451 	1361 
A3132,HD,DK	: 	: 	201388 	232028 	226351 	168229 	138132 	120918 	120453 	132516 	115573 
A3132,HD,EE	: 	: 	598 	554 	398 	489 	553 	704 	643 	615 	660 
A3132,HD,EL	: 	: 	2370 	2212 	2275 	1928 	1977 	1469 	1512 	1770 	1892 
A3132,HD,ES	: 	: 	36247 	29990 	18997 	8721 	8083 	9817 	5788 	6665 	6144 
A3132,HD,FI	: 	: 	3981 	4472 	4101 	4277 	4450 	5119 	4504 	4302 	1451 
A3132,HD,FR	: 	: 	253316 e	214082 e	172529 	161250 	132294 	122457 	122556 	116375 	106915 
A3132,HD,HR	: 	: 	37 	219 	104 	571 	425 	450 	558 	641 	497 
A3132,HD,HU	: 	: 	1699 	2691 	2008 	2653 	2101 	3023 	3719 	741 	1442 
A3132,HD,IE	: 	: 	284 	252 	283 	169 	280 	183 	222 	344 	633 
A3132,HD,IS	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 
A3132,HD,IT	: 	: 	35380 	: 	19553 	24648 	36860 	34349 	33114 	25902 	29421 
A3132,HD,LT	: 	: 	143 	114 	124 	73 	149 	143 	203 	277 	344 
A3132,HD,LU	: 	: 	555 	580 	516 	559 	421 	457 	472 	441 	416 
A3132,HD,LV	: 	: 	918 	1111 	1083 	1483 	1754 	1665 	2585 	3028 	2692 
A3132,HD,ME	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A3132,HD,MK	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A3132,HD,MT	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A3132,HD,NL	: 	: 	50513 	53933 	48069 	45580 	36088 	34353 	35580 	32484 	30890 
A3132,HD,NO	: 	: 	1514 	1625 	1612 	1670 	1234 	873 	1462 	955 	1279 
A3132,HD,PL	: 	: 	1291 	2578 	1760 	1835 	2627 	3331 	2981 	4976 	7162 
A3132,HD,PT	: 	: 	1 	4006 	800 	96 	35 	: 	: 	: 	: 
A3132,HD,RO	: 	: 	0 	0 	0 	17 	13 	43 	18 	125 	212 
A3132,HD,RS	: 	: 	326 	266 	247 	5 	8 	0 	: 	0 	: 
A3132,HD,SE	: 	: 	15104 	15426 	14153 	11918 b	19403 	17456 	13082 	13520 	: 
A3132,HD,SI	: 	: 	: 	: 	: 	: 	2395 	2261 	1484 	1286 	1100 
A3132,HD,SK	: 	: 	935 	475 	410 	91 	327 	441 	96 	105 	93 
A3132,HD,TR	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A3132,HD,UK	: 	: 	: 	20621 	21296 	25169 	21470 	20974 	17031 	20749 	21821 
A4100,HD,AT	126717 	118593 	122843 	123541 	123495 	119745 	112182 	102601 	99286 	100238 	99752 
A4100,HD,BE	: 	28326 	28070 	27349 	24670 	25026 	21161 	18103 	15923 	14102 	12841 
A4100,HD,BG	16344 	19873 	19090 	22780 	21072 	25959 	26809 	18792 	7250 	7894 	9175 
A4100,HD,CH	92032 	88828 	85965 	86679 	84765 	82792 	80214 	80283 	93062 	91989 	88241 
A4100,HD,CY	: 	1104 	1037 	971 	879 	791 	615 	1225 	1306 	1060 	957 
A4100,HD,CZ	: 	75600 	80116 	87863 	94089 	98559 	101022 	102523 	100385 	101528 	93375 
A4100,HD,DE	204429 e	203248 e	243836 	194241 	193023 	194241 	225530 	227674 	230700 	226300 	237912 
A4100,HD,DK	: 	12614 	11928 	11435 	11292 	10861 	9751 	9332 	9820 	10257 	10202 
A4100,HD,EE	28973 	27930 	29901 	32504 	32901 	34441 	36093 	37465 	37622 	33515 	35437 
A4100,HD,EL	: 	1728702 	1440721 	1229684 	1299677 	935267 	593999 	609617 	604364 	610489 	593609 
A4100,HD,ES	: 	672047 	580200 	594875 	622958 	590900 	582517 	596209 	467479 	421803 	506228 
A4100,HD,EU	: 	: 	: 	5089677 p	5718230 	4948311 	4496061 	4490717 	4367463 	4323799 	4425820 
A4100,HD,EU27_2020	: 	: 	: 	4307424 p	4891632 	4058773 	3654951 	3616521 	3408523 	3324599 	3291324 
A4100,HD,EU28	: 	: 	: 	5089677 p	5718230 	4948311 	4496061 	4490717 	4367463 	4323799 	4443421 
A4100,HD,FI	: 	33062 	29829 	32883 	31985 	31140 	31516 	27562 	23897 	19229 	17201 
A4100,HD,FR	: 	819373 e	760938 e	737091 e	1132809 	602124 	513276 	457638 	427873 	426412 	393197 
A4100,HD,HR	: 	76308 	61382 	65632 	62315 	54583 	50135 	23774 	21690 	19433 	17601 
A4100,HD,HU	: 	9206 	8506 	11801 	5538 	6260 	8138 	7913 	7916 	7839 	6972 
A4100,HD,IE	: 	87259 	84859 	84949 	83302 	75015 	63650 	51645 	42201 	42500 	38952 
A4100,HD,IS	: 	201 	666 	1241 	1226 	1281 	: 	: 	: 	: 	: 
A4100,HD,IT	: 	579895 	627747 	596182 p	680369 	736502 	776454 	785170 	757666 	755419 	707623 
A4100,HD,LT	: 	19761 	20276 	23076 	24158 	26840 	21282 	19978 	20257 	19051 	15463 
A4100,HD,LU	: 	750 	778 	837 	539 	476 	521 	603 	670 	649 	737 
A4100,HD,LV	: 	34049 	34662 	37759 	39407 	39882 	36366 	32363 	27285 	26969 	23819 
A4100,HD,ME	779 	987 	1369 	1787 	1545 	1426 	1643 	: 	: 	: 	: 
A4100,HD,MK	: 	110876 	122230 	110669 	101317 	94825 	81621 	70170 	52288 	: 	: 
A4100,HD,MT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A4100,HD,NL	: 	16653 	15422 	15129 	12815 	13321 	12352 	12477 	14478 	18820 	19760 
A4100,HD,NO	: 	46279 	44115 	43554 	46823 	49237 	50902 	48559 	46390 	46347 	47332 
A4100,HD,PL	: 	12807 	15803 	15092 	16243 	19595 	19474 	25754 	29880 	32548 	39837 
A4100,HD,PT	: 	92776 	93385 	94117 	96620 	99328 	85551 	108375 	91299 	88528 	90665 
A4100,HD,RO	: 	13837 	13189 	19367 	32579 	55483 	66401 	85419 	114843 	80309 	51722 
A4100,HD,RS	: 	: 	5711 	6099 	5138 	4665 	2252 	3232 	1285 	2793 	: 
A4100,HD,SE	: 	106419 	110113 	119166 	128914 	126724 	130719 	121877 	121667 	118760 	125577 
A4100,HD,SI	: 	33822 	31695 	35225 	35071 	36981 	35841 	35193 	35790 	34234 	35383 
A4100,HD,SK	: 	66410 e	79107 	93875 	84912 	98729 	93596 	97239 	96976 	106713 	107327 
A4100,HD,TR	: 	2004 	2454 d	16711 d	10475 	10900 	17334 	22566 	16379 	73414 	: 
A4100,HD,UK	: 	: 	: 	782253 	826598 	889538 	841110 	874196 	958940 	999200 	1152097 
A4110,HD,AT	: 	: 	62984 	64133 	63118 	60106 	59066 	51799 	48495 	61346 	: 
A4110,HD,BE	: 	: 	15686 	15678 	14164 	15224 	: 	: 	8521 	: 	: 
A4110,HD,BG	: 	: 	8067 	21529 	20044 	21886 	14125 	12551 	5046 	7522 	8354 
A4110,HD,CH	: 	: 	57904 	58552 	57452 	55924 	54448 	53391 	54522 	54519 	51699 
A4110,HD,CY	: 	: 	901 	745 	761 	385 	320 	727 	792 	: 	: 
A4110,HD,CZ	: 	: 	55905 	59967 	63903 	66815 	67659 	68326 	64893 	65671 	59908 
A4110,HD,DE	: 	: 	149078 	: 	: 	: 	140874 	: 	: 	: 	: 
A4110,HD,DK	: 	: 	11858 	11295 	11189 	10731 	9679 	9208 	9709 	: 	10078 
A4110,HD,ES	: 	: 	564224 	581079 	609658 	582440 	579242 	585908 	458757 	410084 	481116 
A4110,HD,FI	: 	: 	23430 d	26004 d	30242 	: 	: 	: 	: 	17925 	16082 
A4110,HD,FR	: 	: 	: 	425226 e	405297 	295760 	252443 	223673 	209228 	205543 	190539 
A4110,HD,HR	: 	: 	58952 	61781 	56752 	47655 	47236 	5299 	12772 	16248 	: 
A4110,HD,IE	: 	: 	60259 	60130 	: 	53939 	43806 	38016 	: 	29817 	25546 
A4110,HD,IS	: 	: 	: 	1182 	: 	: 	: 	: 	: 	: 	: 
A4110,HD,IT	: 	: 	: 	: 	: 	: 	: 	721312 	697175 	571356 	613433 
A4110,HD,LT	: 	: 	9788 	10805 	11401 	10598 	8527 	8273 	9077 	9151 	7042 
A4110,HD,LU	: 	: 	434 	431 	299 	230 	286 	342 	389 	398 	400 
A4110,HD,LV	: 	: 	21776 	23236 	23962 	16687 	15427 	18508 	11611 	14006 	13975 
A4110,HD,ME	: 	: 	1034 	1235 	1545 	1426 	1643 	: 	: 	: 	: 
A4110,HD,MT	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	0 
A4110,HD,NL	: 	: 	10014 	9808 	7904 	8052 	7610 	: 	8558 	11588 	11640 
A4110,HD,PL	: 	: 	: 	8062 	7665 	10566 	7817 	11109 	16874 	21810 	24663 
A4110,HD,PT	: 	: 	87725 	87820 	91600 	94965 	: 	: 	: 	: 	: 
A4110,HD,RO	: 	: 	11509 	14832 	: 	: 	: 	: 	96737 	: 	: 
A4110,HD,RS	: 	: 	1753 	3174 	2270 	3067 	: 	0 	: 	: 	: 
A4110,HD,SE	: 	: 	: 	: 	: 	: 	58405 	55379 	57929 	56890 	52599 
A4110,HD,SK	: 	: 	: 	: 	71792 	67305 	79728 	80385 	78370 	81437 	63489 
A4110,HD,TR	: 	: 	: 	: 	10191 	10871 	16832 	21744 	16098 	70234 	: 
A4110,HD,UK	: 	: 	: 	291019 	446638 	462962 	431364 	444270 	489599 	512128 	571514 
A4110K,HD,AT	64609 	61746 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,BE	: 	18222 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,BG	7714 	9601 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,CH	60065 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,CZ	: 	53541 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,DK	: 	10793 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,FI	: 	27123 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,FR	: 	645673 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,IS	: 	191 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,LU	: 	406 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,ME	604 	860 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,MT	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,NL	: 	10933 d	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,RO	: 	10978 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,SE	: 	49988 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4110K,HD,SK	: 	13884 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A4120,HD,AT	: 	: 	59859 	59408 	60377 	59639 	53116 	50802 	50791 	: 	: 
A4120,HD,BE	: 	: 	12384 	11671 	10506 	9802 	: 	: 	7402 	: 	: 
A4120,HD,BG	: 	: 	11023 	1251 	1028 	4073 	12684 	6241 	2204 	372 	821 
A4120,HD,CH	: 	: 	28061 	28127 	27313 	26868 	25766 	26892 	38540 	37470 	36542 
A4120,HD,CY	: 	: 	136 	226 	118 	406 	295 	498 	514 	: 	: 
A4120,HD,CZ	: 	: 	24211 	27896 	30186 	31744 	33363 	34197 	35492 	35857 	33467 
A4120,HD,DE	: 	: 	94758 	: 	: 	: 	84656 	: 	: 	: 	: 
A4120,HD,DK	: 	: 	70 	140 	103 	130 	72 	124 	111 	: 	124 
A4120,HD,ES	: 	: 	15976 	13796 	13300 	8460 	3275 	10301 	8722 	11719 	25112 
A4120,HD,FI	: 	: 	1454 d	1962 d	1743 	: 	: 	: 	: 	1304 	1119 
A4120,HD,FR	: 	: 	: 	311865 e	727512 	306364 	260833 	233965 	218645 	220869 	202658 
A4120,HD,HR	: 	: 	2430 	3851 	5563 	6928 	2899 	18475 	8918 	3185 	: 
A4120,HD,IE	: 	: 	24600 	24819 	: 	21076 	19844 	13629 	: 	12683 	13406 
A4120,HD,IS	: 	: 	: 	59 	: 	: 	: 	: 	: 	: 	: 
A4120,HD,IT	: 	: 	: 	: 	: 	: 	: 	63858 	60491 	: 	94190 
A4120,HD,LT	: 	: 	10488 	12271 	12757 	16242 	12755 	11705 	11180 	9900 	8421 
A4120,HD,LU	: 	: 	344 	406 	240 	246 	235 	261 	281 	251 	337 
A4120,HD,LV	: 	: 	12886 	14523 	15445 	23195 	20939 	13855 	15674 	12963 	9844 
A4120,HD,ME	: 	: 	335 	552 	0 	0 	0 	: 	: 	: 	: 
A4120,HD,MT	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	0 
A4120,HD,NL	: 	: 	5408 	5321 	4911 	5269 	4742 	: 	5920 	7232 	8120 
A4120,HD,PL	: 	: 	: 	7030 	8578 	9029 	11657 	14645 	13006 	10738 	15174 
A4120,HD,PT	: 	: 	5660 	6297 	5020 	4363 	: 	: 	: 	: 	: 
A4120,HD,RO	: 	: 	1680 	4535 	: 	: 	: 	: 	18106 	: 	: 
A4120,HD,RS	: 	: 	3958 	2925 	2868 	1598 	2252 	3232 	: 	: 	: 
A4120,HD,SE	: 	: 	: 	: 	: 	: 	72314 	66498 	63738 	61870 	72978 
A4120,HD,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	34234 	35383 
A4120,HD,SK	: 	: 	: 	: 	13120 	31424 	13868 	16854 	18606 	25276 	43838 
A4120,HD,TR	: 	: 	: 	: 	284 	29 	502 	822 	281 	3180 	: 
A4120,HD,UK	: 	: 	: 	491234 	379960 	426576 	409746 	429926 	469341 	487072 	580583 
A4200,HD,AT	55478 	52879 	51500 	51751 	51099 	48017 	45879 	40686 	39293 	38633 	38091 
A4200,HD,BE	: 	11464 	9433 	7670 	7824 	7440 	7021 	5997 	5778 	5713 	5177 
A4200,HD,BG	6592 	8108 	8296 	7956 	8039 	9023 	8242 	5381 	3201 	3235 	2831 
A4200,HD,CH	22948 	22439 	22047 	22554 	22317 	20797 	19395 	19353 	22552 	22231 	21204 
A4200,HD,CY	: 	5519 	4732 	4535 	4155 	4074 	4359 	3891 	4502 	3844 	3971 
A4200,HD,CZ	: 	8342 	8837 	9452 	8857 	9240 	9229 	9656 	9112 	7701 	7620 
A4200,HD,DE	51358 e	51358 e	51358 	: 	: 	: 	46143 	: 	: 	42200 	: 
A4200,HD,DK	: 	1754 	1827 	2075 	2158 	1663 	2015 	1731 	2039 	2079 	3062 
A4200,HD,EE	548 	1127 	814 	1377 	1413 	1476 	1396 	1602 	1163 	1122 	732 
A4200,HD,EL	: 	576859 	518722 	498219 	494031 	375514 	326255 	344479 	353964 	356002 	349789 
A4200,HD,ES	: 	91235 	83465 	79966 	76506 	71741 	73400 	69448 	56466 	50182 	55995 
A4200,HD,FI	: 	1717 	1732 	3137 	2004 	1033 	507 	523 	664 	219 	643 
A4200,HD,FR	: 	158938 e	140278 e	124682 e	109938 	92874 	82146 	72542 	67911 	71442 	60819 
A4200,HD,HR	: 	5484 	4693 	5597 	4199 	3381 	3080 	2163 	1552 	1766 	1477 
A4200,HD,HU	: 	670 	611 	807 	572 	552 	1105 	538 	503 	917 	996 
A4200,HD,IE	: 	236 	144 	126 	144 	222 	123 	121 	329 	459 	634 
A4200,HD,IS	: 	0 	10 	0 	0 	0 	: 	: 	: 	: 	: 
A4200,HD,IT	: 	99580 	105109 	99418 p	110055 	115590 	113983 	100852 	92715 	92330 	79683 
A4200,HD,LT	: 	699 	677 	761 	1060 	1054 	1174 	989 	884 	: 	497 
A4200,HD,LU	: 	258 	315 	330 	333 	305 	212 	199 	171 	176 	204 
A4200,HD,LV	: 	2505 	2521 	2624 	2707 	2753 	2668 	2323 	2209 	2364 	2175 
A4200,HD,ME	0 	0 	0 	0 	5 	265 	300 	: 	: 	: 	: 
A4200,HD,MK	: 	5518 	5551 	4729 	6901 	4309 	4422 	4012 	2585 	2762 	: 
A4200,HD,MT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A4200,HD,NL	: 	56682 	53373 	54886 	50944 	42624 	34548 	31037 	29737 	30737 	26280 
A4200,HD,NO	: 	2015 	1786 	1586 	1691 	1544 	1506 	1449 	1399 	1275 	1295 
A4200,HD,PL	: 	3379 	3645 	5270 	3145 	3147 	3519 	3268 	4190 	3591 	5252 
A4200,HD,PT	: 	6181 	6931 	5631 	5222 	6475 	5426 	6468 	6560 	6519 	8765 
A4200,HD,RO	: 	1080 	830 	8161 	1360 	1653 	2618 	5816 	6440 	3032 	: 
A4200,HD,RS	: 	: 	286 	536 	1486 	2048 	1115 	1117 	182 	81 	: 
A4200,HD,SE	: 	2013 e	1832 e	2344 e	1607 e	1523 e	: 	: 	: 	: 	1840 
A4200,HD,SI	: 	6758 	6545 	7085 	6856 	7049 	6857 	6461 	6448 	5867 	5698 
A4200,HD,SK	: 	1161 e	1230 	1498 	1419 	1272 	1429 	1527 	1005 	1979 	2052 
A4200,HD,TR	: 	: 	: 	: 	10685 	10932 	7022 	14297 	6256 	18639 	: 
A4200,HD,UK	: 	: 	: 	636 	717 	409 	535 	425 	401 	410 	346 
A4210,HD,AT	: 	: 	31177 	31642 	30576 	28034 	26716 	24076 	22155 	23903 	: 
A4210,HD,BE	: 	: 	7367 	6293 	6448 	: 	: 	: 	: 	: 	: 
A4210,HD,BG	: 	: 	4193 	7348 	7834 	8770 	7072 	4132 	3128 	3078 	2742 
A4210,HD,CH	: 	: 	17102 	17743 	17246 	16035 	14966 	15007 	14826 	14424 	14076 
A4210,HD,CY	: 	: 	3791 	3987 	3971 	2554 	2895 	3310 	3516 	: 	: 
A4210,HD,CZ	: 	: 	6651 	6902 	6604 	6829 	6435 	6554 	6011 	5147 	5043 
A4210,HD,DE	: 	: 	36313 	: 	: 	: 	31582 	: 	: 	: 	: 
A4210,HD,DK	: 	: 	1764 	2023 	2124 	1632 	1998 	1727 	2029 	: 	3031 
A4210,HD,ES	: 	: 	54887 	55076 	55160 	51412 	52586 	42683 	35028 	31009 	36510 
A4210,HD,FI	: 	: 	1666 d	3061 d	1984 	: 	: 	: 	: 	211 	617 
A4210,HD,FR	: 	: 	87906 e	81586 e	72507 	61228 	53284 	47354 	44283 	44180 	39236 
A4210,HD,HR	: 	: 	3794 	5037 	3779 	2553 	2844 	476 	1130 	1588 	: 
A4210,HD,IE	: 	: 	64 	57 	: 	100 	: 	55 	: 	166 	427 
A4210,HD,IT	: 	: 	: 	: 	: 	: 	: 	95116 	86433 	71343 	71756 
A4210,HD,LT	: 	: 	374 	420 	331 	386 	801 	551 	427 	386 	251 
A4210,HD,LU	: 	: 	213 	163 	253 	183 	149 	166 	136 	117 	111 
A4210,HD,LV	: 	: 	1877 	1891 	1989 	1479 	1313 	1608 	1264 	1236 	1528 
A4210,HD,ME	: 	: 	0 	0 	5 	265 	300 	: 	: 	: 	: 
A4210,HD,MT	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	0 
A4210,HD,NL	: 	: 	41990 	42729 	39319 	28958 	22924 	23836 	21993 	23394 	20130 
A4210,HD,NO	: 	: 	1061 	865 	875 	1046 	982 	986 	959 	869 	817 
A4210,HD,PL	: 	: 	: 	4230 	2452 	2549 	2492 	2251 	2842 	2738 	3590 
A4210,HD,PT	: 	: 	6565 	4601 	4974 	5999 	: 	: 	: 	: 	: 
A4210,HD,RO	: 	: 	808 	8112 	: 	: 	: 	: 	5637 	: 	: 
A4210,HD,RS	: 	: 	20 	200 	218 	479 	: 	38 	: 	: 	: 
A4210,HD,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	689 
A4210,HD,SK	: 	: 	: 	: 	924 	913 	1100 	1250 	893 	1874 	1289 
A4210,HD,TR	: 	: 	: 	: 	10497 	10843 	6992 	12997 	6118 	18484 	: 
A4220,HD,AT	: 	: 	20323 	20109 	20523 	19983 	19163 	16610 	17138 	: 	: 
A4220,HD,BE	: 	: 	2066 	1377 	1376 	: 	: 	: 	5778 	: 	: 
A4220,HD,BG	: 	: 	4103 	608 	205 	253 	1170 	1249 	73 	157 	89 
A4220,HD,CH	: 	: 	4945 	4811 	5071 	4762 	4429 	4346 	7726 	7807 	7128 
A4220,HD,CY	: 	: 	941 	548 	184 	1520 	1464 	581 	986 	: 	: 
A4220,HD,CZ	: 	: 	2186 	2550 	2253 	2411 	2794 	3102 	3101 	2554 	2577 
A4220,HD,DE	: 	: 	15045 	: 	: 	: 	14561 	: 	: 	: 	: 
A4220,HD,DK	: 	: 	63 	52 	34 	31 	17 	4 	10 	: 	31 
A4220,HD,ES	: 	: 	28578 	24890 	21346 	20329 	20814 	26765 	21438 	19173 	19485 
A4220,HD,FI	: 	: 	23 d	35 d	20 	: 	: 	: 	: 	8 	26 
A4220,HD,FR	: 	: 	52372 e	43096 e	37431 	31646 	28862 	25188 	23628 	27262 	21583 
A4220,HD,HR	: 	: 	899 	560 	420 	828 	236 	1687 	422 	178 	: 
A4220,HD,IE	: 	: 	80 	69 	: 	122 	: 	66 	: 	293 	207 
A4220,HD,IT	: 	: 	: 	: 	: 	: 	: 	5736 	6282 	: 	7927 
