years,location,service_employment,total_exports,number_of_company,consumer_price_index,per_capita_personal_income,working_age_population,service_business_cycle_index,total_company_asset
2013,Busan,724434,12402679264,197455,92.852,15651,2580,75.000,71295789
2013,Daegu,466696,6310024720,137081,92.442,15320,1840,65.667,40846792
2013,Gwangju,296297,5096251437,81060,93.540,15454,1107,87.250,4695286
2013,Daejeon,306331,3894752341,78358,94.592,16253,1154,71.000,6963501
2013,Ulsan,205668,42231493106,57925,94.688,19782,867,70.417,1380240
2013,Gangwondo,316276,1283546703,98106,93.697,14394,1052,60.167,10139673
2013,Chungcheongbukdo,273419,6593488496,82495,94.104,14707,1114,69.083,2158498
2013,Chungcheongnamdo,337170,19892351099,105042,94.867,14892,1438,69.333,3446619
2013,Jeonlabukdo,321627,3932540340,98430,94.173,14628,1248,66.250,13969805
2013,Jeonlanamdo,307150,7286600008,98533,93.687,14575,1167,74.667,2219451
2013,Gyeongsangbukdo,435935,16744667651,144811,94.798,15052,1855,65.833,3439320
2013,Gyeongsangnamdo,565471,44527342950,176858,93.723,15646,2351,69.167,3155806
2013,Jeju,146181,152004093,39024,92.519,14829,396,78.583,3219245
2014,Busan,742751,13840386377,201663,94.019,16147,2565,73.000,87548797
2014,Daegu,474828,6656026086,138889,93.769,16031,1836,72.583,44751190
2014,Gwangju,304262,5164869397,82907,95.041,16225,1109,82.000,5483300
2014,Daejeon,319541,4051752198,80996,95.459,16946,1160,72.000,11148359
2014,Ulsan,214016,42785363047,58987,95.812,20142,878,66.500,1153856
2014,Gangwondo,324254,1220295176,100470,94.334,15152,1058,60.250,11766412
2014,Chungcheongbukdo,283859,6821173440,84998,95.220,15558,1127,67.333,4704157
2014,Chungcheongnamdo,356200,21481342363,110485,95.309,15509,1460,67.917,4322578
2014,Jeonlabukdo,334446,4736794438,102159,95.233,15548,1258,60.833,20418823
2014,Jeonlanamdo,322488,6595703301,101966,94.627,15039,1179,69.583,3015970
2014,Gyeongsangbukdo,450098,18485047500,149439,95.758,15738,1863,72.750,4148934
2014,Gyeongsangnamdo,587624,43573727846,182099,94.997,16272,2375,65.750,6855644
2014,Jeju,151477,133303747,40779,93.550,15329,406,83.917,7323472
2015,Busan,792616,13763710584,205953,94.807,17044,2550,74.167,95437587
2015,Daegu,513755,6011480318,144340,94.464,17226,1829,73.000,49959147
2015,Gwangju,332601,5246898015,86322,95.306,17459,1111,80.000,28578903
2015,Daejeon,341010,3834755027,83767,95.648,18229,1153,70.833,17071901
2015,Ulsan,226764,37878760097,61951,96.251,21348,889,63.000,3452746
2015,Gangwondo,338662,986664938,103169,94.369,16311,1068,63.500,13854858
2015,Chungcheongbukdo,305442,6437746084,88471,95.073,16531,1140,64.000,5925475
2015,Chungcheongnamdo,386678,19802743318,115506,95.515,16703,1474,70.917,4712242
2015,Jeonlabukdo,351787,4150574022,105040,95.205,16239,1264,59.667,23223174
2015,Jeonlanamdo,344711,6587197548,106772,94.595,16067,1187,68.333,3858178
2015,Gyeongsangbukdo,479533,16359715505,155267,95.795,16550,1871,72.917,5562704
2015,Gyeongsangnamdo,626873,40589497654,189750,95.521,17411,2396,65.417,43861427
2015,Jeju,167274,134698472,44233,94.149,16685,420,82.083,8794612
2016,Busan,785733,13822250869,204217,95.929,17525,2531,69.583,91118239
2016,Daegu,512288,5780433840,143627,95.412,17848,1820,72.833,53625657
2016,Gwangju,332216,5116010214,85896,96.180,18232,1107,66.000,6176150
2016,Daejeon,341240,3769637113,83484,96.297,18741,1149,71.833,3540764
2016,Ulsan,224078,33042714749,61641,97.205,21422,889,55.333,1335269
2016,Gangwondo,337650,1000009617,102569,95.110,16798,1074,69.000,8308780
2016,Chungcheongbukdo,303507,6802553002,87842,95.613,16915,1154,67.667,3689323
2016,Chungcheongnamdo,382907,20532651191,114505,96.171,16952,1495,71.167,4621435
2016,Jeonlabukdo,350592,2725547814,104191,95.718,16499,1265,61.583,17975330
2016,Jeonlanamdo,339579,9327705654,105488,95.486,16528,1191,65.917,3914343
2016,Gyeongsangbukdo,474810,15711222094,154022,96.452,16894,1876,69.083,3655828
2016,Gyeongsangnamdo,623462,37325530066,188247,96.405,17744,2403,56.083,6818874
2016,Jeju,166666,144402540,44013,95.366,17366,435,83.833,4347374
2017,Busan,801670,14942042650,207884,97.639,18189,2494,66.250,92143934
2017,Daegu,523355,6252979148,146205,97.358,18350,1807,68.250,56512862
2017,Gwangju,342112,5295564905,88068,98.191,18926,1101,66.000,7340693
2017,Daejeon,349338,3994086764,85069,97.894,19314,1141,76.417,3299284
2017,Ulsan,223409,31057751878,62791,99.006,21956,879,55.333,1251848
2017,Gangwondo,350670,1008954347,105147,97.013,17484,1069,71.333,8661546
2017,Chungcheongbukdo,312066,8016191788,89535,97.524,17465,1155,76.500,3836762
2017,Chungcheongnamdo,396018,23371939175,117971,98.036,17788,1511,73.500,4765964
2017,Jeonlabukdo,357929,2974921450,105460,97.492,17059,1255,67.083,19618722
2017,Jeonlanamdo,351492,9027154996,108382,97.508,17043,1182,64.167,3903668
2017,Gyeongsangbukdo,485670,18384555855,156254,98.240,17428,1858,70.167,3875196
2017,Gyeongsangnamdo,634267,52343372205,193255,97.952,18011,2392,59.333,13367839
2017,Jeju,171975,162326839,46300,97.553,17816,449,74.167,6692165
2018,Busan,818471,14660128593,210550,99.343,18868,2458,63.250,106146500
2018,Daegu,551065,6924495658,147899,99.047,18555,1790,54.667,59916881
2018,Gwangju,352204,5581467490,89126,99.345,19868,1094,66.750,35730760
2018,Daejeon,353847,4095909602,86068,99.412,19649,1126,76.667,9969564
2018,Ulsan,230334,29618532824,64030,100.026,21655,869,55.917,1812191
2018,Gangwondo,365795,1133588396,107649,98.557,18450,1066,70.083,13017224
2018,Chungcheongbukdo,324878,8529943294,91758,99.122,18440,1159,66.250,6825515
2018,Chungcheongnamdo,414315,27863917033,121633,99.437,18458,1528,73.500,4594517
2018,Jeonlabukdo,371158,3517177913,107636,99.158,18141,1250,61.000,24547378
2018,Jeonlanamdo,367657,9811953952,110874,98.971,18207,1184,68.333,5270025
2018,Gyeongsangbukdo,503821,18973677611,160101,99.703,18185,1848,66.167,5497671
2018,Gyeongsangnamdo,656145,34610647920,198358,99.304,18466,2391,55.250,9041389
2018,Jeju,182746,200066227,48840,99.252,18456,464,68.583,14697835
2019,Busan,842161,14190054672,212122,99.824,19723,2420,57.583,106597303
2019,Daegu,549232,6437627886,148761,99.710,19196,1773,50.417,65473883
2019,Gwangju,364864,4705444391,91323,99.564,20791,1093,69.000,30743270
2019,Daejeon,366278,3640020981,87565,99.622,20648,1116,73.917,4432784
2019,Ulsan,233611,25271975375,64901,99.705,22617,858,59.333,1478461
2019,Gangwondo,384868,1135624661,109849,99.384,19174,1059,59.917,10230784
2019,Chungcheongbukdo,341993,8935593359,94359,99.487,18989,1164,59.000,4423787
2019,Chungcheongnamdo,441873,26259613041,124709,99.343,19216,1533,67.250,5504910
2019,Jeonlabukdo,387857,3277761471,109305,99.467,18941,1239,64.417,21848785
2019,Jeonlanamdo,389087,8406841287,113541,99.300,19072,1182,69.833,3877694
2019,Gyeongsangbukdo,529036,19112329204,163249,99.875,18748,1835,63.167,5189413
2019,Gyeongsangnamdo,681153,33646577299,201479,99.385,19078,2381,60.000,7907822
2019,Jeju,191116,176358975,51663,99.574,18815,471,64.417,8014798
2020,Busan,865821,11503189633,275043,100.000,20460,2368,47.167,108831808
2020,Daegu,560936,5512450010,191476,100.000,20229,1740,40.583,70320004
2020,Gwangju,371711,4463889639,117245,100.000,21591,1078,62.333,7331409
2020,Daejeon,394853,4718744803,115797,100.000,21707,1100,57.583,4611606
2020,Ulsan,232337,23919590227,80276,100.000,23863,845,52.667,1932538
2020,Gangwondo,390349,1150161239,131006,100.000,20267,1046,47.667,13723873
2020,Chungcheongbukdo,358710,10673094074,120718,100.000,20029,1157,48.833,6137551
2020,Chungcheongnamdo,464571,21725584628,159564,100.000,20393,1510,55.750,5069143
2020,Jeonlabukdo,397961,3438635393,136431,100.000,19991,1223,56.417,25397255
2020,Jeonlanamdo,398921,6773436711,137260,100.000,19873,1172,53.833,5532009
2020,Gyeongsangbukdo,544238,17724887593,197496,100.000,19798,1801,45.250,5885218
2020,Gyeongsangnamdo,696553,30276185527,252194,100.000,19759,2351,49.583,7580583
2020,Jeju,202082,195248408,68364,100.000,19954,471,41.667,10035825
2021,Busan,878505,15385353129,274196,102.460,21035,2317,62.917,139596119
2021,Daegu,567354,7190201984,187320,102.640,20886,1705,59.583,76359700
2021,Gwangju,380031,5120916153,116078,102.570,22209,1065,69.167,42967097
2021,Daejeon,391973,4786668290,114394,102.500,22565,1083,79.417,5317753
2021,Ulsan,236679,32949707890,78444,102.490,24897,826,60.417,2356014
2021,Gangwondo,398750,1441488821,134304,102.800,20918,1035,60.833,15930439
2021,Chungcheongbukdo,366897,10723792942,120449,102.690,21019,1148,60.333,10186415
2021,Chungcheongnamdo,472222,28623797043,161469,102.770,21169,1499,73.333,5987643
2021,Jeonlabukdo,397588,4453691576,136153,102.590,20745,1206,66.000,33584313
2021,Jeonlanamdo,408134,8781797269,139045,102.620,20779,1157,72.000,6335001
2021,Gyeongsangbukdo,557289,21095208657,198199,102.740,20522,1776,67.083,7289410
2021,Gyeongsangnamdo,711784,33933279495,252235,102.530,20535,2313,60.250,9636325
2021,Jeju,205817,317718591,69654,102.630,20360,471,64.833,20148063
